SampleID,shannon,faith_pd,chao1
BS0F1s_1,10.44514374,229.5618121,5830.305556
BS0F1s_2,10.39157692,239.6289269,5978.88647
BS0F1s_3,10.34466009,229.5489079,6067.712069
BS0F1s_4,10.3706243,232.9135818,5422.1376
BS0F2s_1,10.41851584,236.2076957,5889.1248
BS0F2s_2,10.43134798,235.2385222,6040.746988
BS0F2s_3,10.29254553,239.4420198,5847.478469
BS0F2s_4,10.28974792,223.9521412,5764.247863
BS1F1s_1,10.45855697,235.9082861,6260.680921
BS1F1s_2,10.45998361,245.3477148,5961.106961
BS1F1s_3,10.36095315,232.7734863,5698.957295
BS1F1s_4,10.22365805,221.9594265,5562.586879
BS1F2s_1,10.07866781,216.6865585,5607.810056
BS1F2s_2,10.4325435,240.7477732,6093.811784
BS1F2s_3,10.46044533,243.8949049,6212.784441
BS1F2s_4,9.723319752,224.2148532,5972.332203
DS0F1s_1,10.36075882,224.9561131,5685.282986
DS0F1s_2,10.33897568,229.6231033,6361.352234
DS0F1s_3,10.24487526,216.0466437,5832.862069
DS0F1s_4,10.32728961,218.8105797,5510.408056
DS0F2s_2,10.27747922,225.5276243,5812.368421
DS0F2s_3,10.39240519,229.6042064,5726.14557
DS0F2s_4,10.38053725,240.3966143,5909.535831
DS1F1s_1,10.46869459,234.5000802,5657.139496
DS1F1s_2,10.27251849,216.5141123,5475.384342
DS1F1s_3,10.3104301,230.1522086,5706
DS1F1s_4,10.39928338,226.7931544,5787.909836
DS1F2s_1,10.04647743,201.1808828,5244.342412
DS1F2s_2,10.19079823,206.8861006,5714.71978
DS1F2s_3,10.34056704,227.4839549,5668.819672
DS1F2s_4,10.43842069,236.0260828,6090.429487
TS0F1s_1,9.975685928,198.1709391,5365.958333
TS0F1s_2,10.06106876,205.4953274,5526.173536
TS0F1s_3,10.40817048,225.6443263,5086.319749
TS0F1s_4,10.21137358,210.8092849,5525.215827
TS0F2s_1,10.16778978,214.8908967,5033.256499
TS0F2s_2,9.858544436,185.8829811,5103.313208
TS0F2s_3,10.24152443,212.3755972,5398.260274
TS0F2s_4,10.20095275,213.8975877,5148.347826
TS1F1s_1,9.627636527,185.2694064,5036.125249
TS1F1s_3,9.996136157,207.8915861,5649.030769
TS1F1s_4,10.06339207,207.3075293,5108.924866
TS1F2s_1,10.06449358,204.259158,5370.908778
TS1F2s_2,10.22191206,214.1855503,5570.609403
TS1F2s_3,10.20050605,209.4235559,5385.368715
TS1F2s_4,9.996814756,204.4481937,5394.086629
