	BS0F1s_1	BS0F1s_2	BS0F1s_3	BS0F1s_4	BS0F2s_1	BS0F2s_2	BS0F2s_3	BS0F2s_4	BS1F1s_1	BS1F1s_2	BS1F1s_3	BS1F1s_4	BS1F2s_1	BS1F2s_2	BS1F2s_3	BS1F2s_4
BS0F1s_1	0.0	0.4144437973209086	0.404834012813046	0.4669772859638905	0.35888177052999415	0.43022714036109494	0.5045428072218987	0.44222481071636577	0.3652882935352359	0.37472335468841	0.5308095515433896	0.44006988934187535	0.43197437390797905	0.3836924868957484	0.4354688410017472	0.4412929528246942
BS0F1s_2	0.4144437973209086	0.0	0.32947000582411184	0.32300524170064066	0.33523587652882936	0.3092020966802563	0.3703552708211998	0.3333721607454863	0.3312754804892254	0.4103669190448457	0.38124635993011063	0.30937682003494466	0.37874199184624346	0.32166569598136285	0.32393709959231215	0.3852649970879441
BS0F1s_3	0.404834012813046	0.32947000582411184	0.0	0.31788002329644727	0.3541642399534071	0.31892836342457775	0.4007571345369831	0.3277810133954572	0.3220733838089691	0.4287128712871287	0.4294117647058823	0.30052417006406523	0.4119976703552708	0.33587652882935354	0.3021549213744904	0.40442632498543973
BS0F1s_4	0.4669772859638905	0.32300524170064066	0.31788002329644727	0.0	0.37390797903319745	0.3169481654047758	0.3550378567268492	0.30186371578334303	0.35695981362842166	0.4633080955154339	0.36592894583576	0.2804309842748981	0.4202679091438556	0.3509027373325568	0.3101339545719278	0.42649970879440885
BS0F2s_1	0.35888177052999415	0.33523587652882936	0.3541642399534071	0.37390797903319745	0.0	0.33680838672102503	0.3839254513686663	0.3740244612696564	0.3207338380896913	0.3462434478741992	0.4013395457192778	0.35602795573675017	0.37483983692486894	0.31986022131624925	0.37489807804309844	0.40861968549796157
BS0F2s_2	0.43022714036109494	0.3092020966802563	0.31892836342457775	0.3169481654047758	0.33680838672102503	0.0	0.360221316249272	0.3428072218986605	0.3333139196272568	0.4171811298776937	0.3753640069889342	0.3153174140943506	0.3954571927781013	0.31654047757716947	0.31718112987769365	0.42585905649388467
BS0F2s_3	0.5045428072218987	0.3703552708211998	0.4007571345369831	0.3550378567268492	0.3839254513686663	0.360221316249272	0.0	0.3733838089691322	0.39231217239370997	0.4697728596389051	0.3326732673267327	0.35451368666278393	0.4103086779266162	0.3706464764123471	0.3877111240535818	0.4801980198019802
BS0F2s_4	0.44222481071636577	0.3333721607454863	0.3277810133954572	0.30186371578334303	0.3740244612696564	0.3428072218986605	0.3733838089691322	0.0	0.34647641234711707	0.44729178800232966	0.4101339545719278	0.3001164822364589	0.37431566686080375	0.347582993593477	0.32195690157251017	0.4008736167734421
BS1F1s_1	0.3652882935352359	0.3312754804892254	0.3220733838089691	0.35695981362842166	0.3207338380896913	0.3333139196272568	0.39231217239370997	0.34647641234711707	0.0	0.37588817705299943	0.41951077460687247	0.3234711706464764	0.36552125800815377	0.30297029702970296	0.3343040186371578	0.3997670355270821
BS1F1s_2	0.37472335468841	0.4103669190448457	0.4287128712871287	0.4633080955154339	0.3462434478741992	0.4171811298776937	0.4697728596389051	0.44729178800232966	0.37588817705299943	0.0	0.489341875364007	0.44222481071636577	0.40594059405940597	0.37897495631916134	0.4481654047757717	0.4345369831100757
BS1F1s_3	0.5308095515433896	0.38124635993011063	0.4294117647058823	0.36592894583576	0.4013395457192778	0.3753640069889342	0.3326732673267327	0.4101339545719278	0.41951077460687247	0.489341875364007	0.0	0.3625509609784508	0.4617355853232382	0.38940011648223644	0.4104251601630751	0.5107746068724519
BS1F1s_4	0.44006988934187535	0.30937682003494466	0.30052417006406523	0.2804309842748981	0.35602795573675017	0.3153174140943506	0.35451368666278393	0.3001164822364589	0.3234711706464764	0.44222481071636577	0.3625509609784508	0.0	0.398136284216657	0.30937682003494466	0.29073966220151426	0.40745486313337215
BS1F2s_1	0.43197437390797905	0.37874199184624346	0.4119976703552708	0.4202679091438556	0.37483983692486894	0.3954571927781013	0.4103086779266162	0.37431566686080375	0.36552125800815377	0.40594059405940597	0.4617355853232382	0.398136284216657	0.0	0.36814210832847993	0.4067559697146185	0.4069889341875364
BS1F2s_2	0.3836924868957484	0.32166569598136285	0.33587652882935354	0.3509027373325568	0.31986022131624925	0.31654047757716947	0.3706464764123471	0.347582993593477	0.30297029702970296	0.37897495631916134	0.38940011648223644	0.30937682003494466	0.36814210832847993	0.0	0.32673267326732675	0.41770529994175887
BS1F2s_3	0.4354688410017472	0.32393709959231215	0.3021549213744904	0.3101339545719278	0.37489807804309844	0.31718112987769365	0.3877111240535818	0.32195690157251017	0.3343040186371578	0.4481654047757717	0.4104251601630751	0.29073966220151426	0.4067559697146185	0.32673267326732675	0.0	0.40920209668025626
BS1F2s_4	0.4412929528246942	0.3852649970879441	0.40442632498543973	0.42649970879440885	0.40861968549796157	0.42585905649388467	0.4801980198019802	0.4008736167734421	0.3997670355270821	0.4345369831100757	0.5107746068724519	0.40745486313337215	0.4069889341875364	0.41770529994175887	0.40920209668025626	0.0
