	BS0F1s_1	BS0F1s_2	BS0F1s_3	BS0F1s_4	BS0F2s_1	BS0F2s_2	BS0F2s_3	BS0F2s_4	BS1F1s_1	BS1F1s_2	BS1F1s_3	BS1F1s_4	BS1F2s_1	BS1F2s_2	BS1F2s_3	BS1F2s_4
BS0F1s_1	0.0	0.1277977320788043	0.13429104364266792	0.1644002890854466	0.12326755774735412	0.16257195218836448	0.20585215123914125	0.15465944198015025	0.12239586754596864	0.1423591649389764	0.21570945831895824	0.14459639824736534	0.17925040540498322	0.12622808154434711	0.14426003795145134	0.16284306298516454
BS0F1s_2	0.1277977320788043	0.0	0.1029555200501629	0.10281887094555792	0.1038665370226745	0.11014218242115352	0.14539268951385165	0.1037660821398855	0.09645807117912099	0.16954983239742177	0.1521833474815827	0.08789747842726867	0.14584002011904168	0.10554894165548079	0.10306903402557821	0.15927004076874732
BS0F1s_3	0.13429104364266792	0.1029555200501629	0.0	0.10404350633206313	0.10784774002942443	0.1145175289612812	0.16881753367307795	0.10654880618926715	0.09662879664137886	0.16933017244566442	0.18252700543838174	0.10039195185017193	0.1761853762505046	0.119215293923169	0.10807674088941525	0.16192009985088776
BS0F1s_4	0.1644002890854466	0.10281887094555792	0.10404350633206313	0.0	0.1127759224990247	0.09713391063074908	0.13893138843779887	0.10015953306785585	0.11618052823387987	0.18887214053503176	0.14368824894101306	0.10895837464024286	0.17790536823063252	0.12265423926847864	0.10593950419432932	0.1901746864241415
BS0F2s_1	0.12326755774735412	0.1038665370226745	0.10784774002942443	0.1127759224990247	0.0	0.11216628648876706	0.14499326834442425	0.11387766440619862	0.09982194791447506	0.13688281865361906	0.15583497495814727	0.11534430908038754	0.13907851830366066	0.10369171202618371	0.12074107068134105	0.16171197417514596
BS0F2s_2	0.16257195218836448	0.11014218242115352	0.1145175289612812	0.09713391063074908	0.11216628648876706	0.0	0.13977368338961094	0.12680214586012287	0.11265209560798156	0.17235936715787054	0.14003110980054415	0.11755429153516872	0.17004497933061635	0.10294037755841155	0.09662030774870713	0.19650198651995793
BS0F2s_3	0.20585215123914125	0.14539268951385165	0.16881753367307795	0.13893138843779887	0.14499326834442425	0.13977368338961094	0.0	0.14187287554748818	0.16060958344103024	0.2109524320993138	0.11240718163461079	0.14512390474014492	0.17993553604779278	0.15138588483406956	0.1651842351001411	0.22932137438510494
BS0F2s_4	0.15465944198015025	0.1037660821398855	0.10654880618926715	0.10015953306785585	0.11387766440619862	0.12680214586012287	0.14187287554748818	0.0	0.11551355319671952	0.1951410797018241	0.16329270580751387	0.09391030072419396	0.15306389521658847	0.13177357952074012	0.12637280356436104	0.1677304432440426
BS1F1s_1	0.12239586754596864	0.09645807117912099	0.09662879664137886	0.11618052823387987	0.09982194791447506	0.11265209560798156	0.16060958344103024	0.11551355319671952	0.0	0.15350799935523274	0.16446422715604297	0.09278695363166195	0.14332334575641878	0.0854720525777344	0.09422855664665547	0.1503878324578242
BS1F1s_2	0.1423591649389764	0.16954983239742177	0.16933017244566442	0.18887214053503176	0.13688281865361906	0.17235936715787054	0.2109524320993138	0.1951410797018241	0.15350799935523274	0.0	0.2195177336154532	0.19007439568725712	0.1649547200949179	0.14340648201939504	0.1643395964144542	0.1641890985057379
BS1F1s_3	0.21570945831895824	0.1521833474815827	0.18252700543838174	0.14368824894101306	0.15583497495814727	0.14003110980054415	0.11240718163461079	0.16329270580751387	0.16446422715604297	0.2195177336154532	0.0	0.1493396679574334	0.19732125308033166	0.14503421962408894	0.16456821146673145	0.2411179834415739
BS1F1s_4	0.14459639824736534	0.08789747842726867	0.10039195185017193	0.10895837464024286	0.11534430908038754	0.11755429153516872	0.14512390474014492	0.09391030072419396	0.09278695363166195	0.19007439568725712	0.1493396679574334	0.0	0.1582406802947861	0.10587658896140036	0.11050948273407896	0.16578407838196643
BS1F2s_1	0.17925040540498322	0.14584002011904168	0.1761853762505046	0.17790536823063252	0.13907851830366066	0.17004497933061635	0.17993553604779278	0.15306389521658847	0.14332334575641878	0.1649547200949179	0.19732125308033166	0.1582406802947861	0.0	0.14691796245435138	0.1628624176230257	0.17232362044604294
BS1F2s_2	0.12622808154434711	0.10554894165548079	0.119215293923169	0.12265423926847864	0.10369171202618371	0.10294037755841155	0.15138588483406956	0.13177357952074012	0.0854720525777344	0.14340648201939504	0.14503421962408894	0.10587658896140036	0.14691796245435138	0.0	0.0978808992322734	0.1662132167631748
BS1F2s_3	0.14426003795145134	0.10306903402557821	0.10807674088941525	0.10593950419432932	0.12074107068134105	0.09662030774870713	0.1651842351001411	0.12637280356436104	0.09422855664665547	0.1643395964144542	0.16456821146673145	0.11050948273407896	0.1628624176230257	0.0978808992322734	0.0	0.1709927440114936
BS1F2s_4	0.16284306298516454	0.15927004076874732	0.16192009985088776	0.1901746864241415	0.16171197417514596	0.19650198651995793	0.22932137438510494	0.1677304432440426	0.1503878324578242	0.1641890985057379	0.2411179834415739	0.16578407838196643	0.17232362044604294	0.1662132167631748	0.1709927440114936	0.0
