	BS0F1s_1	BS0F1s_2	BS0F1s_3	BS0F1s_4	BS0F2s_1	BS0F2s_2	BS0F2s_3	BS0F2s_4	BS1F1s_1	BS1F1s_2	BS1F1s_3	BS1F1s_4	BS1F2s_1	BS1F2s_2	BS1F2s_3	BS1F2s_4	DS0F1s_1	DS0F1s_2	DS0F1s_3	DS0F1s_4	DS0F2s_2	DS0F2s_3	DS0F2s_4	DS1F1s_1	DS1F1s_2	DS1F1s_3	DS1F1s_4	DS1F2s_1	DS1F2s_2	DS1F2s_3	DS1F2s_4	TS0F1s_1	TS0F1s_2	TS0F1s_3	TS0F1s_4	TS0F2s_1	TS0F2s_2	TS0F2s_3	TS0F2s_4	TS1F1s_1	TS1F1s_3	TS1F1s_4	TS1F2s_1	TS1F2s_2	TS1F2s_3	TS1F2s_4
BS0F1s_1	0.0	0.4144437973209086	0.404834012813046	0.4669772859638905	0.35888177052999415	0.43022714036109494	0.5045428072218987	0.44222481071636577	0.3652882935352359	0.37472335468841	0.5308095515433896	0.44006988934187535	0.43197437390797905	0.3836924868957484	0.4354688410017472	0.4412929528246942	0.3523005241700641	0.4052999417588818	0.3771112405358183	0.42382061735585325	0.36394874781595804	0.39231217239370997	0.44589400116482236	0.39871869539895166	0.38037274315666864	0.4235876528829354	0.4504950495049505	0.4232382061735585	0.36814210832847993	0.43774024461269656	0.43372160745486316	0.3578334304018637	0.5013395457192779	0.36924868957483986	0.44589400116482236	0.36703552708211995	0.43972044263249854	0.4351193942923704	0.47058823529411764	0.4602795573675015	0.42591729761211417	0.4807804309842749	0.4216074548631334	0.44845661036691903	0.44729178800232966	0.4841001747233547
BS0F1s_2	0.4144437973209086	0.0	0.32947000582411184	0.32300524170064066	0.33523587652882936	0.3092020966802563	0.3703552708211998	0.3333721607454863	0.3312754804892254	0.4103669190448457	0.38124635993011063	0.30937682003494466	0.37874199184624346	0.32166569598136285	0.32393709959231215	0.3852649970879441	0.40745486313337215	0.31135701805474664	0.3811881188118812	0.397146185206756	0.34909726266744323	0.37792661619103085	0.34199184624344786	0.4090273733255679	0.3804309842748981	0.3337216074548631	0.35422248107163656	0.41869539895165986	0.446592894583576	0.33412929528246943	0.33890506697728595	0.4205591147350029	0.3645894001164822	0.3635410599883518	0.3512521840419336	0.464065230052417	0.4403028538147932	0.37175305765870703	0.37472335468841	0.49621432731508447	0.4372743156668608	0.4305183459522423	0.4052417006406523	0.4313919627256843	0.4323820617355853	0.44857309260337797
BS0F1s_3	0.404834012813046	0.32947000582411184	0.0	0.31788002329644727	0.3541642399534071	0.31892836342457775	0.4007571345369831	0.3277810133954572	0.3220733838089691	0.4287128712871287	0.4294117647058823	0.30052417006406523	0.4119976703552708	0.33587652882935354	0.3021549213744904	0.40442632498543973	0.4117647058823529	0.3177052999417589	0.32941176470588235	0.41485148514851483	0.35288293535235876	0.3438555620267909	0.3188118811881188	0.4093768200349447	0.38351776354106	0.326266744321491	0.3367501456027956	0.42440302853814793	0.39394292370413514	0.32667443214909725	0.33680838672102503	0.39056493884682586	0.39831100757134535	0.354397204426325	0.32242283051834597	0.45602795573675015	0.44729178800232966	0.3804892253931276	0.42719860221316247	0.4809551543389633	0.4249271986022132	0.4568433313919627	0.39895165987186954	0.45707629586488063	0.4198019801980198	0.47157833430401863
BS0F1s_4	0.4669772859638905	0.32300524170064066	0.31788002329644727	0.0	0.37390797903319745	0.3169481654047758	0.3550378567268492	0.30186371578334303	0.35695981362842166	0.4633080955154339	0.36592894583576	0.2804309842748981	0.4202679091438556	0.3509027373325568	0.3101339545719278	0.42649970879440885	0.4603377984857309	0.3310425160163075	0.39598136284216656	0.4270238788584741	0.39190448456610366	0.3839254513686663	0.2972626674432149	0.433080955154339	0.4208503203261503	0.3340128130460105	0.328246942341293	0.4633663366336634	0.48258590564938847	0.3234711706464764	0.3401863715783343	0.4555037856726849	0.35620267909143855	0.38940011648223644	0.3289458357600466	0.5065230052417007	0.49312754804892256	0.3856144437973209	0.402853814793244	0.536808386721025	0.4578334304018637	0.4576004659289458	0.42032615026208503	0.457251019219569	0.43506115317414096	0.47990681421083287
BS0F2s_1	0.35888177052999415	0.33523587652882936	0.3541642399534071	0.37390797903319745	0.0	0.33680838672102503	0.3839254513686663	0.3740244612696564	0.3207338380896913	0.3462434478741992	0.4013395457192778	0.35602795573675017	0.37483983692486894	0.31986022131624925	0.37489807804309844	0.40861968549796157	0.3625509609784508	0.34839836924868955	0.36668608037274314	0.3645894001164822	0.3297029702970297	0.38340128130460105	0.38037274315666864	0.3609202096680256	0.3428072218986605	0.3535818287711124	0.37221898660454283	0.397146185206756	0.39866045428072217	0.3792079207920792	0.3672684915550379	0.36808386721025044	0.3856726849155504	0.3495049504950495	0.3821782178217822	0.40203843913803144	0.4249854397204426	0.3998252766453116	0.4182877111240536	0.4677926616191031	0.4304018637157833	0.44845661036691903	0.40413511939429236	0.39866045428072217	0.43063482818870125	0.4530576587070472
BS0F2s_2	0.43022714036109494	0.3092020966802563	0.31892836342457775	0.3169481654047758	0.33680838672102503	0.0	0.360221316249272	0.3428072218986605	0.3333139196272568	0.4171811298776937	0.3753640069889342	0.3153174140943506	0.3954571927781013	0.31654047757716947	0.31718112987769365	0.42585905649388467	0.42859638905066977	0.3293535235876529	0.3866627839254514	0.41624927198602213	0.3560861968549796	0.3808386721025044	0.33523587652882936	0.4064065230052417	0.40209668025626094	0.3264414676761794	0.33016889924286547	0.4486895748398369	0.4535235876528829	0.3526499708794409	0.3496796738497379	0.43395457192778103	0.359231217239371	0.36767617938264413	0.36167734420500874	0.4684915550378567	0.46616191030867793	0.3782178217821782	0.4060570762958649	0.5137449039021549	0.4348864298194525	0.4470005824111823	0.39190448456610366	0.4236458940011648	0.4066394874781596	0.4755969714618521
BS0F2s_3	0.5045428072218987	0.3703552708211998	0.4007571345369831	0.3550378567268492	0.3839254513686663	0.360221316249272	0.0	0.3733838089691322	0.39231217239370997	0.4697728596389051	0.3326732673267327	0.35451368666278393	0.4103086779266162	0.3706464764123471	0.3877111240535818	0.4801980198019802	0.4901572510192196	0.39970879440885265	0.45136866627839256	0.45433896330809553	0.43226557949912636	0.45154338963308094	0.38707047175305764	0.4443214909726267	0.4638905066977286	0.3886429819452534	0.37996505532906233	0.4997670355270821	0.5246942341292953	0.41135701805474667	0.402970297029703	0.5069889341875364	0.34129295282469424	0.4355853232382062	0.4114735002912056	0.5334886429819452	0.5189283634245777	0.4305183459522423	0.43564356435643564	0.5687245195107746	0.4984274898078043	0.4788584740827024	0.44921374490390215	0.44490390215492137	0.46179382644146766	0.5046592894583576
BS0F2s_4	0.44222481071636577	0.3333721607454863	0.3277810133954572	0.30186371578334303	0.3740244612696564	0.3428072218986605	0.3733838089691322	0.0	0.34647641234711707	0.44729178800232966	0.4101339545719278	0.3001164822364589	0.37431566686080375	0.347582993593477	0.32195690157251017	0.4008736167734421	0.4355853232382062	0.3207920792079208	0.3672684915550379	0.41217239370995923	0.3685497961560862	0.36709376820034945	0.3160745486313337	0.42440302853814793	0.3995923121723937	0.32708211997670356	0.3489225393127548	0.4433313919627257	0.44554455445544555	0.3347699475829936	0.3533488642981945	0.41968549796156085	0.38654630168899246	0.3765288293535236	0.3336051252184042	0.4793244030285381	0.46068724519510773	0.3764705882352941	0.39627256843331393	0.509551543389633	0.4429819452533489	0.4585905649388468	0.4118229470005824	0.4561444379732091	0.42684915550378566	0.4592894583576005
BS1F1s_1	0.3652882935352359	0.3312754804892254	0.3220733838089691	0.35695981362842166	0.3207338380896913	0.3333139196272568	0.39231217239370997	0.34647641234711707	0.0	0.37588817705299943	0.41951077460687247	0.3234711706464764	0.36552125800815377	0.30297029702970296	0.3343040186371578	0.3997670355270821	0.3676179382644147	0.3246359930110658	0.3438555620267909	0.39015725101921955	0.3155503785672685	0.3333139196272568	0.3432149097262667	0.3673849737914968	0.3510774606872452	0.331974373907979	0.35020384391380316	0.39761211415259173	0.3848573092603378	0.3553290623179965	0.3444379732090856	0.37518928363424575	0.39755387303436224	0.32527664531159	0.35317414094350613	0.40926033779848575	0.43948747815958067	0.3632498543972044	0.3991846243447874	0.46016307513104254	0.40034944670937683	0.43249854397204424	0.375713453698311	0.40751310425160164	0.4039021549213745	0.4530576587070472
BS1F1s_2	0.37472335468841	0.4103669190448457	0.4287128712871287	0.4633080955154339	0.3462434478741992	0.4171811298776937	0.4697728596389051	0.44729178800232966	0.37588817705299943	0.0	0.489341875364007	0.44222481071636577	0.40594059405940597	0.37897495631916134	0.4481654047757717	0.4345369831100757	0.3631333721607455	0.4218986604542807	0.4076295864880606	0.4055911473500291	0.37874199184624346	0.4150844496214327	0.44979615608619683	0.36569598136284215	0.36750145602795575	0.41426907396622015	0.44385556202679094	0.40728013977868377	0.4039021549213745	0.4487478159580664	0.41287128712871285	0.3903902154921374	0.4741409435061153	0.37431566686080375	0.45171811298776937	0.39470005824111826	0.4294700058241118	0.444612696563774	0.4531741409435061	0.47536400698893416	0.4619103086779266	0.46423995340710544	0.4394292370413512	0.4069889341875364	0.4517763541059988	0.45771694816540476
BS1F1s_3	0.5308095515433896	0.38124635993011063	0.4294117647058823	0.36592894583576	0.4013395457192778	0.3753640069889342	0.3326732673267327	0.4101339545719278	0.41951077460687247	0.489341875364007	0.0	0.3625509609784508	0.4617355853232382	0.38940011648223644	0.4104251601630751	0.5107746068724519	0.5188118811881188	0.4172976121141526	0.48241118229470004	0.4748980780430984	0.4511939429237041	0.4858474082702388	0.41391962725684334	0.4755969714618521	0.4919044845661037	0.4165404775771695	0.3849155503785673	0.5279557367501456	0.5590564938846826	0.42283051834595226	0.42865463016889926	0.5347699475829936	0.299009900990099	0.46820034944670935	0.43966220151426905	0.5675014560279558	0.5472917880023297	0.45230052417006406	0.4514851485148515	0.5983692486895749	0.5192195690157251	0.4788584740827024	0.4725684333139196	0.44746651135701804	0.48759464181712286	0.5253931275480489
