	DS0F1s_1	DS0F1s_2	DS0F1s_3	DS0F1s_4	DS0F2s_2	DS0F2s_3	DS0F2s_4	DS1F1s_1	DS1F1s_2	DS1F1s_3	DS1F1s_4	DS1F2s_1	DS1F2s_2	DS1F2s_3	DS1F2s_4
DS0F1s_1	0.0	0.3809551543389633	0.3546884100174723	0.3444962143273151	0.33622597553873035	0.37041351193942923	0.4225393127548049	0.36808386721025044	0.3207338380896913	0.39504950495049507	0.4345369831100757	0.3695398951659872	0.3529994175888177	0.41659871869539894	0.40716365754222483
DS0F1s_2	0.3809551543389633	0.0	0.3193942923704135	0.35928945835760046	0.31118229470005826	0.3298776936517181	0.2987186953989517	0.3866045428072219	0.34071054164239956	0.3041933605125218	0.3269073966220151	0.3873034362259755	0.3978450786255096	0.3034944670937682	0.326150262085032
DS0F1s_3	0.3546884100174723	0.3193942923704135	0.0	0.3862550960978451	0.3184041933605125	0.30570762958648806	0.34769947582993593	0.39079790331974373	0.3391962725684333	0.3292952824694234	0.3702970297029703	0.39120559114735004	0.3527664531158998	0.3497379149679674	0.3634828188701223
DS0F1s_4	0.3444962143273151	0.35928945835760046	0.3862550960978451	0.0	0.37291788002329646	0.39324403028538146	0.4055911473500291	0.3801980198019802	0.3189866045428072	0.3927781013395457	0.4036691904484566	0.33832265579499127	0.4131624927198602	0.39190448456610366	0.3842748980780431
DS0F2s_2	0.33622597553873035	0.31118229470005826	0.3184041933605125	0.37291788002329646	0.0	0.3333139196272568	0.34536983110075714	0.3470005824111823	0.3302271403610949	0.3170646476412347	0.3801397786837507	0.38782760629004076	0.3714036109493302	0.3574839836924869	0.3645894001164822
DS0F2s_3	0.37041351193942923	0.3298776936517181	0.30570762958648806	0.39324403028538146	0.3333139196272568	0.0	0.32516016307513107	0.3889341875364007	0.34606872451951076	0.32061735585323237	0.3472335468841002	0.3914385556202679	0.3771112405358183	0.34472917880023296	0.3354105998835178
DS0F2s_4	0.4225393127548049	0.2987186953989517	0.34769947582993593	0.4055911473500291	0.34536983110075714	0.32516016307513107	0.0	0.3988934187536401	0.3832847990681421	0.30157251019219566	0.31007571345369833	0.4196272568433314	0.4425160163075131	0.3065230052417006	0.3200349446709377
DS1F1s_1	0.36808386721025044	0.3866045428072219	0.39079790331974373	0.3801980198019802	0.3470005824111823	0.3889341875364007	0.3988934187536401	0.0	0.34979615608619685	0.37757716948165404	0.39900990099009903	0.3782178217821782	0.4114735002912056	0.40652300524170065	0.3788002329644729
DS1F1s_2	0.3207338380896913	0.34071054164239956	0.3391962725684333	0.3189866045428072	0.3302271403610949	0.34606872451951076	0.3832847990681421	0.34979615608619685	0.0	0.354397204426325	0.38642981945253346	0.31852067559697145	0.35521258008153755	0.3730343622597554	0.3591147350029121
DS1F1s_3	0.39504950495049507	0.3041933605125218	0.3292952824694234	0.3927781013395457	0.3170646476412347	0.32061735585323237	0.30157251019219566	0.37757716948165404	0.354397204426325	0.0	0.31788002329644727	0.41193942923704135	0.42649970879440885	0.30454280722189864	0.3210250436808387
DS1F1s_4	0.4345369831100757	0.3269073966220151	0.3702970297029703	0.4036691904484566	0.3801397786837507	0.3472335468841002	0.31007571345369833	0.39900990099009903	0.38642981945253346	0.31788002329644727	0.0	0.42032615026208503	0.43977868375072804	0.3310425160163075	0.30460104834012813
DS1F2s_1	0.3695398951659872	0.3873034362259755	0.39120559114735004	0.33832265579499127	0.38782760629004076	0.3914385556202679	0.4196272568433314	0.3782178217821782	0.31852067559697145	0.41193942923704135	0.42032615026208503	0.0	0.38573092603377984	0.4147350029120559	0.3778683750728014
DS1F2s_2	0.3529994175888177	0.3978450786255096	0.3527664531158998	0.4131624927198602	0.3714036109493302	0.3771112405358183	0.4425160163075131	0.4114735002912056	0.35521258008153755	0.42649970879440885	0.43977868375072804	0.38573092603377984	0.0	0.40978450786255094	0.4017472335468841
DS1F2s_3	0.41659871869539894	0.3034944670937682	0.3497379149679674	0.39190448456610366	0.3574839836924869	0.34472917880023296	0.3065230052417006	0.40652300524170065	0.3730343622597554	0.30454280722189864	0.3310425160163075	0.4147350029120559	0.40978450786255094	0.0	0.3287128712871287
DS1F2s_4	0.40716365754222483	0.326150262085032	0.3634828188701223	0.3842748980780431	0.3645894001164822	0.3354105998835178	0.3200349446709377	0.3788002329644729	0.3591147350029121	0.3210250436808387	0.30460104834012813	0.3778683750728014	0.4017472335468841	0.3287128712871287	0.0
