ID,taxonomy
OTU_1,k__Bacteria; p__Parcubacteria
OTU_10,k__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae; g__uncultured; s__endosymbiont_DhMRE_of_Dentiscutata_heterogama
OTU_100,k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae
OTU_1000,k__Bacteria; p__Acidobacteria; c__Subgroup_22; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10000,k__Bacteria; p__Parcubacteria; c__groundwater_metagenome; o__groundwater_metagenome; f__groundwater_metagenome; g__groundwater_metagenome; s__groundwater_metagenome
OTU_10001,k__Bacteria; p__Acidobacteria; c__Subgroup_20; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10002,k__Bacteria; p__Parcubacteria; c__groundwater_metagenome; o__groundwater_metagenome; f__groundwater_metagenome; g__groundwater_metagenome; s__groundwater_metagenome
OTU_10003,k__Bacteria; p__Microgenomates; c__Candidatus_Pacebacteria; o__Microgenomates_group_bacterium_GW2011_GWF1_44_10; f__Microgenomates_group_bacterium_GW2011_GWF1_44_10; g__Microgenomates_group_bacterium_GW2011_GWF1_44_10; s__Microgenomates_group_bacterium_GW2011_GWF1_44_10
OTU_10004,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10005,k__Bacteria; p__WS6; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10006,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10007,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10008,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10009,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_1001,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Oligoflexales; f__0319-6G20; g__unidentified; s__unidentified
OTU_10010,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10011,k__Bacteria; p__Parcubacteria
OTU_10012,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria
OTU_10013,k__Bacteria; p__Armatimonadetes; c__Chthonomonadetes; o__Chthonomonadales; f__unidentified; g__unidentified; s__unidentified
OTU_10014,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10015,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10016,k__Bacteria; p__Parcubacteria; c__Candidatus_Magasanikbacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10017,k__Bacteria; p__Parcubacteria
OTU_10018,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10019,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_1002,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Nitrosomonadaceae; g__unidentified; s__unidentified
OTU_10020,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10021,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10022,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10023,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10024,k__Bacteria; p__Parcubacteria
OTU_10025,k__Bacteria; p__Parcubacteria; c__bacterium_SH4-10; o__bacterium_SH4-10; f__bacterium_SH4-10; g__bacterium_SH4-10; s__bacterium_SH4-10
OTU_10026,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10027,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10028,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10029,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_1003,k__Bacteria; p__Acidobacteria; c__Subgroup_22; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10030,k__Bacteria; p__Parcubacteria; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
