SampleID,SOC,TN,CN,pH,SM
BS0F1s_1,14.61811788,1.71,8.548606946,6.6,19.19222054
BS0F1s_2,12.57637988,1.52,8.27393413,6.66,20.12362994
BS0F1s_3,14.67012511,1.65,8.890984915,6.84,20.40978473
BS0F1s_4,11.22777146,1.42,7.906881313,6.89,17.58476334
BS0F2s_1,12.36353105,1.46,8.46817195,6.63,19.04829392
BS0F2s_2,13.24059719,1.6,8.275373246,6.81,19.26775148
BS0F2s_3,14.21977608,1.64,8.670595169,6.95,18.85391773
BS0F2s_4,12.68567199,1.57,8.080045853,7.04,17.54533299
BS1F1s_1,12.69821293,1.55,8.19239544,6.94,17.51027352
BS1F1s_2,11.94667744,1.4,8.533341029,6.92,19.26164454
BS1F1s_3,13.37227591,1.67,8.007350843,6.6,20.7757655
BS1F1s_4,11.81529725,1.4,8.439498034,6.97,18.69540716
BS1F2s_1,11.73973497,1.59,7.383481113,6.76,17.65748108
BS1F2s_2,12.72328264,1.42,8.960058195,7.08,19.33191217
BS1F2s_3,14.20115361,1.75,8.114944921,6.8,20.55494515
BS1F2s_4,12.88805707,1.64,7.858571386,6.79,18.91026729
DS0F1s_1,13.82617172,1.61,8.587684301,6.74,16.21808637
DS0F1s_2,13.94503158,1.69,8.251497977,6.73,15.6983442
DS0F1s_3,15.68903393,1.81,8.667974547,6.81,15.93138465
DS0F1s_4,12.56129383,1.56,8.052111426,6.84,14.43974144
DS0F2s_2,13.38321865,1.56,8.578986315,6.88,17.38475646
DS0F2s_3,15.49799,2.06,7.523296117,6.79,18.14359056
DS0F2s_4,12.24725618,1.48,8.275173091,7.02,16.91009036
DS1F1s_1,13.89209803,1.71,8.124033933,6.8,15.49350244
DS1F1s_2,14.5120664,1.73,8.388477686,6.77,17.3984542
DS1F1s_3,13.51937062,1.58,8.556563686,6.87,15.59492563
DS1F1s_4,14.49247152,1.63,8.89108682,7.01,19.41865831
DS1F2s_1,13.32512028,1.72,7.747162952,6.79,13.64166746
DS1F2s_2,13.94725528,1.86,7.498524342,6.55,18.57170082
DS1F2s_3,14.44354348,1.77,8.160194057,6.92,15.80287758
DS1F2s_4,15.77315471,1.63,9.676782028,7.01,19.64912226
TS0F1s_1,15.78569174,1.63,9.684473459,6.67,17.18073555
TS0F1s_2,16.87523888,1.7,9.926611107,6.8,20.32781292
TS0F1s_3,13.21113932,1.46,9.048725559,6.83,19.87136235
TS0F1s_4,15.13186469,1.62,9.340657214,6.94,20.98516608
TS0F2s_1,14.50124549,1.6,9.063278432,6.87,18.52115583
TS0F2s_2,16.37625309,1.69,9.690090588,6.76,21.01071424
TS0F2s_3,15.75624677,1.96,8.038901415,6.74,20.13966497
TS0F2s_4,14.72466652,1.63,9.033537741,6.74,20.19670168
TS1F1s_1,14.34183844,1.42,10.09988623,6.82,20.08028096
TS1F1s_3,17.46716226,1.86,9.390947452,6.88,23.65203173
TS1F1s_4,16.27065898,1.66,9.801601794,6.77,22.44261006
TS1F2s_1,13.44004119,1.52,8.842132363,6.99,21.275166
TS1F2s_2,19.35262415,2.29,8.450927576,6.45,21.30075154
TS1F2s_3,16.38077978,1.83,8.951245782,7.01,22.06948608
TS1F2s_4,16.46213672,1.72,9.57100972,6.66,21.57084792
