	TS0F1s_1	TS0F1s_2	TS0F1s_3	TS0F1s_4	TS0F2s_1	TS0F2s_2	TS0F2s_3	TS0F2s_4	TS1F1s_1	TS1F1s_3	TS1F1s_4	TS1F2s_1	TS1F2s_2	TS1F2s_3	TS1F2s_4
TS0F1s_1	0.0	0.22232703119873684	0.16557285608643268	0.14215274962812927	0.16216074278382875	0.17160566262880203	0.19384262929030097	0.2294020230523328	0.19621593372649312	0.18679708763171946	0.25874042713541695	0.19391308986661385	0.23213454658785027	0.22973345363282552	0.20955667167194283
TS0F1s_2	0.22232703119873684	0.0	0.19879787444306912	0.16650917365577128	0.2568378422335288	0.26657195093595715	0.2025101908718198	0.23218386708266314	0.2989352398896054	0.22627906661962766	0.26853331248473333	0.20820323831967688	0.21763698474161033	0.24834847246629843	0.27969673744639073
TS0F1s_3	0.16557285608643268	0.19879787444306912	0.0	0.13989398795365054	0.1497360081501386	0.21867691739029238	0.1636913544245499	0.16556018775327155	0.23021700326199795	0.20890697111701007	0.2303690045055755	0.19476152420096202	0.2038402974477783	0.19432692925907627	0.20926063361818245
TS0F1s_4	0.14215274962812927	0.16650917365577128	0.13989398795365054	0.0	0.178724462998418	0.18654670124995038	0.14839226540776643	0.1933736815512768	0.21487732983140992	0.17733473555411036	0.21869114279990992	0.1680868889452336	0.1927792337697768	0.19834741478145385	0.20531037573452954
TS0F2s_1	0.16216074278382875	0.2568378422335288	0.1497360081501386	0.178724462998418	0.0	0.16440634316526864	0.14007543228597547	0.15346522295303203	0.1776043382535519	0.15556661576112346	0.17655882211569765	0.15350371012786404	0.16106030963337176	0.15235196799782555	0.14504190604882006
TS0F2s_2	0.17160566262880203	0.26657195093595715	0.21867691739029238	0.18654670124995038	0.16440634316526864	0.0	0.1831797110670562	0.22071115114327386	0.10148424044997335	0.18770271901541305	0.20540316185317053	0.17874742773293906	0.19528354044542712	0.20849673663314994	0.1765232373208628
TS0F2s_3	0.19384262929030097	0.2025101908718198	0.1636913544245499	0.14839226540776643	0.14007543228597547	0.1831797110670562	0.0	0.11156741214659123	0.21103372607683585	0.13346483401977144	0.1284286310083264	0.11625415800711637	0.1298116320413377	0.11480254204468457	0.1509914488366682
TS0F2s_4	0.2294020230523328	0.23218386708266314	0.16556018775327155	0.1933736815512768	0.15346522295303203	0.22071115114327386	0.11156741214659123	0.0	0.23247125153519835	0.1967885150491028	0.1367440617603062	0.1672827630238289	0.14158427568602716	0.13636655340066559	0.1420642755585381
TS1F1s_1	0.19621593372649312	0.2989352398896054	0.23021700326199795	0.21487732983140992	0.1776043382535519	0.10148424044997335	0.21103372607683585	0.23247125153519835	0.0	0.2363486291721502	0.23345920000593962	0.21646032085595046	0.2208894193389149	0.2309010448416907	0.2087133362709156
TS1F1s_3	0.18679708763171946	0.22627906661962766	0.20890697111701007	0.17733473555411036	0.15556661576112346	0.18770271901541305	0.13346483401977144	0.1967885150491028	0.2363486291721502	0.0	0.16846877868171034	0.12193974730849852	0.16607357334149883	0.1459902870240234	0.16261991032279813
TS1F1s_4	0.25874042713541695	0.26853331248473333	0.2303690045055755	0.21869114279990992	0.17655882211569765	0.20540316185317053	0.1284286310083264	0.1367440617603062	0.23345920000593962	0.16846877868171034	0.0	0.1434899643613188	0.13145856892527147	0.11501066024108113	0.13098860218272446
TS1F2s_1	0.19391308986661385	0.20820323831967688	0.19476152420096202	0.1680868889452336	0.15350371012786404	0.17874742773293906	0.11625415800711637	0.1672827630238289	0.21646032085595046	0.12193974730849852	0.1434899643613188	0.0	0.1223677579196502	0.1102739395728808	0.14965908581974652
TS1F2s_2	0.23213454658785027	0.21763698474161033	0.2038402974477783	0.1927792337697768	0.16106030963337176	0.19528354044542712	0.1298116320413377	0.14158427568602716	0.2208894193389149	0.16607357334149883	0.13145856892527147	0.1223677579196502	0.0	0.11751525624177624	0.16004464098724533
TS1F2s_3	0.22973345363282552	0.24834847246629843	0.19432692925907627	0.19834741478145385	0.15235196799782555	0.20849673663314994	0.11480254204468457	0.13636655340066559	0.2309010448416907	0.1459902870240234	0.11501066024108113	0.1102739395728808	0.11751525624177624	0.0	0.13336299401035878
TS1F2s_4	0.20955667167194283	0.27969673744639073	0.20926063361818245	0.20531037573452954	0.14504190604882006	0.1765232373208628	0.1509914488366682	0.1420642755585381	0.2087133362709156	0.16261991032279813	0.13098860218272446	0.14965908581974652	0.16004464098724533	0.13336299401035878	0.0
