	BS0F1s_1	BS0F1s_2	BS0F1s_3	BS0F1s_4	BS0F2s_1	BS0F2s_2	BS0F2s_3	BS0F2s_4	BS1F1s_1	BS1F1s_2	BS1F1s_3	BS1F1s_4	BS1F2s_1	BS1F2s_2	BS1F2s_3	BS1F2s_4	DS0F1s_1	DS0F1s_2	DS0F1s_3	DS0F1s_4	DS0F2s_2	DS0F2s_3	DS0F2s_4	DS1F1s_1	DS1F1s_2	DS1F1s_3	DS1F1s_4	DS1F2s_1	DS1F2s_2	DS1F2s_3	DS1F2s_4	TS0F1s_1	TS0F1s_2	TS0F1s_3	TS0F1s_4	TS0F2s_1	TS0F2s_2	TS0F2s_3	TS0F2s_4	TS1F1s_1	TS1F1s_3	TS1F1s_4	TS1F2s_1	TS1F2s_2	TS1F2s_3	TS1F2s_4
BS0F1s_1	0.0	0.1276600674294119	0.13846119945651067	0.16418412580556183	0.12224544760952052	0.15884853226731616	0.2056459941934171	0.1621994426041922	0.12488342039751354	0.1466062431752757	0.21476429886785758	0.15011511618874854	0.19100477190958484	0.1281710792952698	0.14493053818115678	0.16306489921353054	0.15930881212630038	0.1558407894704263	0.15103205882834161	0.1823387385194417	0.1360563989369297	0.1465389544289947	0.16288854238046874	0.1469153359725237	0.15676099042509836	0.14977494928011104	0.1565619765588852	0.18159972371539718	0.16010805324804592	0.1804999517254061	0.13950774973237753	0.16433484325026296	0.2074438238190375	0.13392841003083855	0.1576442768609068	0.14909454762103486	0.2052222234456046	0.17823643826316377	0.19688710467353673	0.22375989776602204	0.18798926638017427	0.2448354929952933	0.1901297199433125	0.20096525979750027	0.21544322379573902	0.22991281966495464
BS0F1s_2	0.1276600674294119	0.0	0.10475522201473833	0.09853296213865732	0.10350240815683524	0.10562182253753027	0.14694034638048079	0.10671977634850241	0.09588857829239063	0.1740998052294766	0.15612369621968625	0.0920756195253079	0.15503113548202369	0.10790953949284561	0.10459635141732199	0.15697574861298808	0.16882705278281995	0.12309448561720575	0.15179713581533658	0.17892837023929023	0.13197230565574272	0.15788269035527608	0.13375935750168766	0.1583076782754439	0.15873508460114458	0.11393751516511148	0.12437475512638667	0.1928055419664897	0.17498855893792276	0.13613040834148002	0.1067533726065805	0.18053067306392756	0.13921431160703493	0.1414954621868217	0.12768650152043928	0.18671245416426857	0.21277654076965133	0.1570408704716722	0.1780473631703478	0.23941771333280978	0.2000226664195608	0.22597106974174264	0.18209068052496574	0.19346080894388681	0.2131402155043478	0.22138156643183335
BS0F1s_3	0.13846119945651067	0.10475522201473833	0.0	0.10427842649508184	0.11321578697327132	0.11541768914332866	0.17705288506187863	0.11359821724186575	0.10054774529472729	0.17339706513556144	0.18991424915803826	0.10539057234266812	0.1927016321762292	0.1238571610265601	0.11161126158827507	0.1596263971630361	0.15564870608389153	0.10728003843123163	0.12468394087088606	0.1692152938956554	0.12045818976171618	0.14431530651623328	0.11626625501627692	0.15940525957762058	0.15046391380507554	0.11047945021832888	0.13313591253907647	0.1875409715822695	0.13818918983773473	0.12348460109971857	0.11536873921955332	0.16309399120730889	0.16442150240153552	0.1391304875582184	0.10761331102630432	0.18903740868113486	0.20672793605445777	0.17527434175595966	0.20831181725390638	0.23129511080520132	0.21283890168363842	0.2557173681730886	0.18932428443969282	0.2143135585001407	0.22113483136285403	0.23635250256315427
BS0F1s_4	0.16418412580556183	0.09853296213865732	0.10427842649508184	0.0	0.11505726992716869	0.09835828313511304	0.14604248950804408	0.10239558495571283	0.1155834993057137	0.19777838670255948	0.1497877221659982	0.10782755519575497	0.1892053541315596	0.12572354703105956	0.11075031436496473	0.18573305853190467	0.18688001668302864	0.11411770342921947	0.160195078151392	0.18332317356518382	0.13490699751659507	0.16446469798189065	0.10481045176915114	0.16436480458570701	0.1738234750005603	0.11772830870860931	0.12070404185069263	0.206209070259579	0.18757809493387895	0.11686876705592236	0.11616632195332201	0.20223739150123599	0.13356968587650678	0.14363097005159814	0.13014576691221139	0.20857627604879492	0.247852722259543	0.17567682039882068	0.19775053035633258	0.2680445283813702	0.22312902710061835	0.2540212455224733	0.19514921630492207	0.20939241251622648	0.22122745718984219	0.24646414492851254
BS0F2s_1	0.12224544760952052	0.10350240815683524	0.11321578697327132	0.11505726992716869	0.0	0.11133689425286676	0.14949262439178043	0.12200231465059196	0.10161173570265318	0.14273918394939553	0.1613009788192369	0.12246152642264536	0.14979110488401484	0.10931827381890469	0.12312669327115729	0.15819062606488885	0.15519590045731135	0.13070531797335633	0.1531466818595299	0.15699178157655513	0.12557224377748466	0.1533430640684636	0.14100230601628122	0.13172258150413085	0.14537493931200182	0.11462825055768383	0.13135312233229615	0.18118397415988183	0.1665483140090431	0.15063601932452655	0.1148974108814176	0.16401811447917913	0.15155988653707847	0.1345283717298143	0.1372477785450182	0.16723918406338917	0.21206981845348977	0.17364403369514286	0.18730205281813045	0.23330747300118443	0.20313158380973803	0.2391369776734227	0.17521956661265956	0.18286306840898625	0.21108925673378676	0.21695311904004405
BS0F2s_2	0.15884853226731616	0.10562182253753027	0.11541768914332866	0.09835828313511304	0.11133689425286676	0.0	0.143794113139223	0.13171386926347933	0.10810293756426134	0.1784128105697719	0.14226960331319036	0.11729219685462344	0.17317108132251532	0.10099957037334749	0.09918827237978155	0.18781082314618927	0.18800388631052914	0.14862958186801367	0.18363772094926095	0.19260493745154605	0.15620032056538027	0.1652905449778584	0.134941370620987	0.15502099538741518	0.18157509913998143	0.13608552086779463	0.11359847670365564	0.21567236333647866	0.1922067363320005	0.15074903861108516	0.11319541907447006	0.21655382270412987	0.1447000343275333	0.15294476601248266	0.15510791667815368	0.19535626659909217	0.24103802920599854	0.1597297004645711	0.180675463733806	0.2605966615146524	0.212241278898003	0.22899048368809555	0.17196183873477155	0.1802388266971975	0.1936577231352058	0.2333025205881675
BS0F2s_3	0.2056459941934171	0.14694034638048079	0.17705288506187863	0.14604248950804408	0.14949262439178043	0.143794113139223	0.0	0.14928714942441845	0.16262634849764726	0.21420438279334603	0.11964556075729034	0.15140428656181143	0.1777410446973196	0.15472164196564614	0.17007859451250285	0.22667465744528273	0.2440781318736499	0.19372345268258154	0.21873596538315057	0.24295438347727064	0.1995684919811237	0.22756721602265303	0.19326374602286142	0.19773073076880276	0.23415367286738598	0.18008193016148102	0.16669568611909744	0.2644351508621646	0.24605921197675662	0.20485263290913114	0.17139995232947744	0.26110358523063554	0.15215748791698464	0.2121369298934396	0.19410919889724768	0.24364238026436028	0.2576833554640116	0.20889687443151816	0.22140974622350673	0.28447944232246186	0.25402310461585265	0.2608443280355581	0.21152851366737788	0.20139051207605443	0.23791017052842311	0.26550544477875027
BS0F2s_4	0.1621994426041922	0.10671977634850241	0.11359821724186575	0.10239558495571283	0.12200231465059196	0.13171386926347933	0.14928714942441845	0.0	0.1231815569989405	0.2077282154526479	0.16681922824858073	0.09847278275972852	0.16488199659125688	0.14076515942228635	0.13399211615780754	0.17209042190064255	0.17887898414358033	0.10624899219704692	0.1379798321873355	0.18086627692707158	0.11944257959076589	0.17250945183099	0.12771666055702544	0.17973549625797677	0.16796041727620445	0.10826734175481612	0.1459115346987237	0.21312618170382341	0.17099164736501207	0.13236341353859954	0.13863356553522416	0.1756866002456886	0.13537414246654728	0.15607909916879403	0.12147586754589007	0.20763601484202782	0.21593903035322998	0.17620132450402223	0.2066499440828675	0.2424353785499002	0.21086426116711574	0.25738220097052517	0.19103940381141218	0.2134442054604295	0.2222734076289933	0.2373290353766189
BS1F1s_1	0.12488342039751354	0.09588857829239063	0.10054774529472729	0.1155834993057137	0.10161173570265318	0.10810293756426134	0.16262634849764726	0.1231815569989405	0.0	0.15993595279732167	0.16656527938493917	0.09860654898531215	0.15485451208302808	0.08923180104149793	0.09363593422345501	0.1505804360096593	0.1495676032053365	0.12621842237278244	0.14123967275416996	0.16684632089035586	0.12143969550987933	0.12915785929254825	0.12742617270272363	0.14067446374943415	0.14477228023241823	0.10679298310798979	0.11635703084741009	0.1800843648918443	0.15386711634724168	0.14206657389189764	0.10352219634423944	0.17273505525037577	0.16201050671879844	0.12292884441173244	0.11988803167913202	0.16286795820700065	0.2038804231975271	0.14191456043291809	0.1683381187430317	0.2200067963368191	0.19494852154254544	0.21254999197164298	0.16617390727928033	0.18065419606538366	0.18870632937819806	0.21077659474707125
BS1F1s_2	0.1466062431752757	0.1740998052294766	0.17339706513556144	0.19777838670255948	0.14273918394939553	0.1784128105697719	0.21420438279334603	0.2077282154526479	0.15993595279732167	0.0	0.22659302552682153	0.2008637154415008	0.16985451559572678	0.1521645924559182	0.17033316790795588	0.16670288895968619	0.15519562764422237	0.2083900030572457	0.19561576595578165	0.17395334759031453	0.19367729937038924	0.17522412709085008	0.19651081318065325	0.13898952983849386	0.15497296831508353	0.18653466744359115	0.17552544938498238	0.16968350600760057	0.17955008598352376	0.21873157994865036	0.15819225309377943	0.18835628912017188	0.24787712211208587	0.1591244038410206	0.19184979277982459	0.15987978660078192	0.20770955615790018	0.18839452943295304	0.1809836348059784	0.21494704430539918	0.23889885870835784	0.22346789421992652	0.19416192318372844	0.17834215226196656	0.2121018985650467	0.19726503265601178
