	BS0F1s_1	BS0F1s_2	BS0F1s_3	BS0F1s_4	BS0F2s_1	BS0F2s_2	BS0F2s_3	BS0F2s_4	BS1F1s_1	BS1F1s_2	BS1F1s_3	BS1F1s_4	BS1F2s_1	BS1F2s_2	BS1F2s_3	BS1F2s_4
BS0F1s_1	0.0	0.43655978200007467	0.4160662958677069	0.5000186643771697	0.33924371943708237	0.4271902646608683	0.47702415170405765	0.4689984695210721	0.3883683601478219	0.4187166374258091	0.5066258538952555	0.4252118406808765	0.46246593751166526	0.3404009108216059	0.4341707417223487	0.5163313300235172
BS0F1s_2	0.43655978200007467	0.0	0.3852327447833066	0.39725260368061516	0.3025868826757251	0.2810481914218523	0.43932210982119524	0.3669416551569674	0.430363208779723	0.35301802978834596	0.43525327559819327	0.33386837881219905	0.4113255440665945	0.3150546866251073	0.31804098697226474	0.44003135615364514
BS0F1s_3	0.4160662958677069	0.3852327447833066	0.0	0.42140430773825077	0.3967300011198626	0.32793310687222366	0.48105565717272014	0.4062488334764269	0.33222591362126247	0.4272649221695472	0.48728955914741123	0.33244988614729926	0.3991190413975886	0.3374519392287879	0.3844861696965172	0.4590690208667737
BS0F1s_4	0.5000186643771697	0.39725260368061516	0.42140430773825077	0.0	0.41923923998656165	0.40165739669267236	0.4788159319123521	0.3613050132517078	0.42002314382769046	0.42140430773825077	0.4753070290044421	0.34969577065213336	0.3388704318936877	0.3881070588674456	0.4128186942401732	0.44880361342342007
BS0F2s_1	0.33924371943708237	0.3025868826757251	0.3967300011198626	0.41923923998656165	0.0	0.335062898951062	0.45966628093620515	0.3679868602784725	0.3526074134906118	0.3815745268580387	0.4306245100600993	0.35858001418492663	0.4250625256635186	0.2987046922244205	0.365709806263765	0.4843032588002538
BS0F2s_2	0.4271902646608683	0.2810481914218523	0.32793310687222366	0.40165739669267236	0.335062898951062	0.0	0.4053156146179402	0.38892829146291386	0.39393034454440257	0.38101459554294675	0.4639964164395834	0.33468961140766734	0.430923140094815	0.306170443092314	0.3312553660084363	0.4822875060659226
BS0F2s_3	0.47702415170405765	0.43932210982119524	0.48105565717272014	0.4788159319123521	0.45966628093620515	0.4053156146179402	0.0	0.46590018291089624	0.512411810817873	0.44581731307626266	0.5476128261599911	0.44365224532457354	0.5082683190861921	0.4463772443913547	0.4121094479077233	0.502034417111501
BS0F2s_4	0.4689984695210721	0.3669416551569674	0.4062488334764269	0.3613050132517078	0.3679868602784725	0.38892829146291386	0.46590018291089624	0.0	0.39269849565120013	0.42327074545522414	0.48781216170816377	0.3061331143379745	0.4066221210198216	0.36593377878980177	0.35544439882041134	0.42920601739519953
BS1F1s_1	0.3883683601478219	0.430363208779723	0.33222591362126247	0.42002314382769046	0.3526074134906118	0.39393034454440257	0.512411810817873	0.39269849565120013	0.0	0.3847474709768935	0.391653290529695	0.3647392586509388	0.3440591287468737	0.34988241442383067	0.45182724252491696	0.4810929859270596
BS1F1s_2	0.4187166374258091	0.35301802978834596	0.4272649221695472	0.42140430773825077	0.3815745268580387	0.38101459554294675	0.44581731307626266	0.42327074545522414	0.3847474709768935	0.0	0.3821717869274702	0.389973496584419	0.3611556982343499	0.35749748030908207	0.43226697525103586	0.471387509798798
BS1F1s_3	0.5066258538952555	0.43525327559819327	0.48728955914741123	0.4753070290044421	0.4306245100600993	0.4639964164395834	0.5476128261599911	0.48781216170816377	0.391653290529695	0.3821717869274702	0.0	0.46115943110978386	0.34861323677628875	0.4811303146813991	0.5197655754227481	0.47732278173877335
BS1F1s_4	0.4252118406808765	0.33386837881219905	0.33244988614729926	0.34969577065213336	0.35858001418492663	0.33468961140766734	0.44365224532457354	0.3061331143379745	0.3647392586509388	0.389973496584419	0.46115943110978386	0.0	0.35846802792190824	0.2923961327410504	0.3091567434394714	0.41255739295979693
BS1F2s_1	0.46246593751166526	0.4113255440665945	0.3991190413975886	0.3388704318936877	0.4250625256635186	0.430923140094815	0.5082683190861921	0.4066221210198216	0.3440591287468737	0.3611556982343499	0.34861323677628875	0.35846802792190824	0.0	0.3995296576953227	0.4420471088879764	0.42834745604539176
BS1F2s_2	0.3404009108216059	0.3150546866251073	0.3374519392287879	0.3881070588674456	0.2987046922244205	0.306170443092314	0.4463772443913547	0.36593377878980177	0.34988241442383067	0.35749748030908207	0.4811303146813991	0.2923961327410504	0.3995296576953227	0.0	0.3277837918548658	0.4545149128373586
BS1F2s_3	0.4341707417223487	0.31804098697226474	0.3844861696965172	0.4128186942401732	0.365709806263765	0.3312553660084363	0.4121094479077233	0.35544439882041134	0.45182724252491696	0.43226697525103586	0.5197655754227481	0.3091567434394714	0.4420471088879764	0.3277837918548658	0.0	0.43913546604949794
BS1F2s_4	0.5163313300235172	0.44003135615364514	0.4590690208667737	0.44880361342342007	0.4843032588002538	0.4822875060659226	0.502034417111501	0.42920601739519953	0.4810929859270596	0.471387509798798	0.47732278173877335	0.41255739295979693	0.42834745604539176	0.4545149128373586	0.43913546604949794	0.0
