	BS0F1s_1	BS0F1s_2	BS0F1s_3	BS0F1s_4	BS0F2s_1	BS0F2s_2	BS0F2s_3	BS0F2s_4	BS1F1s_1	BS1F1s_2	BS1F1s_3	BS1F1s_4	BS1F2s_1	BS1F2s_2	BS1F2s_3	BS1F2s_4
BS0F1s_1	0.0	0.26172508196400707	0.2704929141179274	0.3201426752793469	0.20122920461664562	0.23334443831884943	0.31473815274006706	0.29968698799433025	0.22897663081986963	0.2323561427147258	0.30355644722008984	0.2535681869841073	0.2932996887976344	0.18223839864256686	0.26799783142460154	0.35977526648245856
BS0F1s_2	0.26172508196400707	0.0	0.2345427112971418	0.23040811160266947	0.17461450698939296	0.16328731586414247	0.28578528936453657	0.20919187138144796	0.2499962660428925	0.1816367508600715	0.26418813375589895	0.1936852341301254	0.22988207282479295	0.1837230485983199	0.16168357902237437	0.28859089876928196
BS0F1s_3	0.2704929141179274	0.2345427112971418	0.0	0.2714026342195682	0.24785715725589996	0.1883437456051177	0.33181164937691127	0.2844589857462458	0.1856721227051682	0.24595751655374734	0.28819697917017	0.20792454483299866	0.24664427726311156	0.1987596965059038	0.24078756705346613	0.30676500877265206
BS0F1s_4	0.3201426752793469	0.23040811160266947	0.2714026342195682	0.0	0.27602082385149196	0.23631435577680018	0.33163226471123886	0.23138129299729776	0.26985571836424255	0.23427269456331706	0.29242456674144274	0.19408515225933204	0.19465750451110875	0.23532223983428088	0.21607744992382455	0.3017373154726199
BS0F2s_1	0.20122920461664562	0.17461450698939296	0.24785715725589996	0.27602082385149196	0.0	0.20254508335249974	0.31050376231966814	0.2364336931749348	0.20507948017691635	0.21491176883629023	0.2621567151787749	0.21806901709950774	0.2719435661914183	0.17033656117716534	0.21269807016327683	0.3290998390350857
BS0F2s_2	0.23334443831884943	0.16328731586414247	0.1883437456051177	0.23631435577680018	0.20254508335249974	0.0	0.2545821878638346	0.24122925859098204	0.21883357937715897	0.19263328250784442	0.25703156770592217	0.18932782549838584	0.2320910652852534	0.16856822531172325	0.17659328546250347	0.316907274955239
BS0F2s_3	0.31473815274006706	0.28578528936453657	0.33181164937691127	0.33163226471123886	0.31050376231966814	0.2545821878638346	0.0	0.3516243355091799	0.33175471391718275	0.28446629758056047	0.3732587386792842	0.31472667409761756	0.3517938319849713	0.2940099813880802	0.2637807278122374	0.38581404694017657
BS0F2s_4	0.29968698799433025	0.20919187138144796	0.2844589857462458	0.23138129299729776	0.2364336931749348	0.24122925859098204	0.3516243355091799	0.0	0.25993495197833755	0.24593462554963344	0.32154265520715114	0.17088538270945006	0.27242563181014445	0.21502117766920717	0.20081682118650765	0.2714126605567425
BS1F1s_1	0.22897663081986963	0.2499962660428925	0.1856721227051682	0.26985571836424255	0.20507948017691635	0.21883357937715897	0.33175471391718275	0.25993495197833755	0.0	0.22953567736262123	0.2244912068206076	0.206706865369125	0.2254424686525661	0.20585417201069567	0.2669710262972488	0.32639056940307287
BS1F1s_2	0.2323561427147258	0.1816367508600715	0.24595751655374734	0.23427269456331706	0.21491176883629023	0.19263328250784442	0.28446629758056047	0.24593462554963344	0.22953567736262123	0.0	0.2181162058540661	0.20195352339058606	0.20931999692342015	0.20463041364843648	0.20962793215021389	0.2951907912207293
BS1F1s_3	0.30355644722008984	0.26418813375589895	0.28819697917017	0.29242456674144274	0.2621567151787749	0.25703156770592217	0.3732587386792842	0.32154265520715114	0.2244912068206076	0.2181162058540661	0.0	0.2710153631125224	0.20356425220459906	0.2793177342898997	0.3062169784533993	0.3122066995581522
BS1F1s_4	0.2535681869841073	0.1936852341301254	0.20792454483299866	0.19408515225933204	0.21806901709950774	0.18932782549838584	0.31472667409761756	0.17088538270945006	0.206706865369125	0.20195352339058606	0.2710153631125224	0.0	0.20961180193124085	0.16232265501672874	0.16310702777099179	0.24720004586455532
BS1F2s_1	0.2932996887976344	0.22988207282479295	0.24664427726311156	0.19465750451110875	0.2719435661914183	0.2320910652852534	0.3517938319849713	0.27242563181014445	0.2254424686525661	0.20931999692342015	0.20356425220459906	0.20961180193124085	0.0	0.25103587897590707	0.25699665923485704	0.27728486411552516
BS1F2s_2	0.18223839864256686	0.1837230485983199	0.1987596965059038	0.23532223983428088	0.17033656117716534	0.16856822531172325	0.2940099813880802	0.21502117766920717	0.20585417201069567	0.20463041364843648	0.2793177342898997	0.16232265501672874	0.25103587897590707	0.0	0.1823391006281917	0.30819343953003364
BS1F2s_3	0.26799783142460154	0.16168357902237437	0.24078756705346613	0.21607744992382455	0.21269807016327683	0.17659328546250347	0.2637807278122374	0.20081682118650765	0.2669710262972488	0.20962793215021389	0.3062169784533993	0.16310702777099179	0.25699665923485704	0.1823391006281917	0.0	0.2771074005105974
BS1F2s_4	0.35977526648245856	0.28859089876928196	0.30676500877265206	0.3017373154726199	0.3290998390350857	0.316907274955239	0.38581404694017657	0.2714126605567425	0.32639056940307287	0.2951907912207293	0.3122066995581522	0.24720004586455532	0.27728486411552516	0.30819343953003364	0.2771074005105974	0.0
