	BS0F1s_1	BS0F1s_2	BS0F1s_3	BS0F1s_4	BS0F2s_1	BS0F2s_2	BS0F2s_3	BS0F2s_4	BS1F1s_1	BS1F1s_2	BS1F1s_3	BS1F1s_4	BS1F2s_1	BS1F2s_2	BS1F2s_3	BS1F2s_4	DS0F1s_1	DS0F1s_2	DS0F1s_3	DS0F1s_4	DS0F2s_2	DS0F2s_3	DS0F2s_4	DS1F1s_1	DS1F1s_2	DS1F1s_3	DS1F1s_4	DS1F2s_1	DS1F2s_2	DS1F2s_3	DS1F2s_4	TS0F1s_1	TS0F1s_2	TS0F1s_3	TS0F1s_4	TS0F2s_1	TS0F2s_2	TS0F2s_3	TS0F2s_4	TS1F1s_1	TS1F1s_3	TS1F1s_4	TS1F2s_1	TS1F2s_2	TS1F2s_3	TS1F2s_4
BS0F1s_1	0.0	0.43655978200007467	0.4160662958677069	0.5000186643771697	0.33924371943708237	0.4271902646608683	0.47702415170405765	0.4689984695210721	0.3883683601478219	0.4187166374258091	0.5066258538952555	0.4252118406808765	0.46246593751166526	0.3404009108216059	0.4341707417223487	0.5163313300235172	0.4377543021389376	0.421740266527306	0.40456903953115086	0.44234573892269213	0.3795587741237075	0.43077382507745715	0.47709880921273656	0.4608234723207287	0.4469371757064467	0.47041696218597184	0.46485497778939117	0.41416252939639403	0.356452275187577	0.45369368024189033	0.46328717010713355	0.36238754712755233	0.37433274851618203	0.36089439695397363	0.4042704094964351	0.3897121953040427	0.42371869050729777	0.4667960730150435	0.49012654447721077	0.4333868378812199	0.3757512411810818	0.37142110567770353	0.382470416962186	0.5035275672850797	0.4430923140094815	0.6036059576691926
BS0F1s_2	0.43655978200007467	0.0	0.3852327447833066	0.39725260368061516	0.3025868826757251	0.2810481914218523	0.43932210982119524	0.3669416551569674	0.430363208779723	0.35301802978834596	0.43525327559819327	0.33386837881219905	0.4113255440665945	0.3150546866251073	0.31804098697226474	0.44003135615364514	0.49826421292321477	0.32158721863451417	0.43969539736458996	0.37000261301280374	0.40098547911456195	0.4964351039605808	0.37612452872447644	0.5109933181529732	0.4881107917428795	0.4263690320654	0.40718205233491356	0.4381275896823323	0.4857964089738325	0.35059166075628057	0.4013587666579566	0.45608272051961624	0.31975810967188023	0.392213221844787	0.39714061741759676	0.44368957407891296	0.3625741908992497	0.3504423457389227	0.40572623091567434	0.5065511963865765	0.42327074545522414	0.43921012355817685	0.39889506887155174	0.5901676061069842	0.34006495203255066	0.5608645339505021
BS0F1s_3	0.4160662958677069	0.3852327447833066	0.0	0.42140430773825077	0.3967300011198626	0.32793310687222366	0.48105565717272014	0.4062488334764269	0.33222591362126247	0.4272649221695472	0.48728955914741123	0.33244988614729926	0.3991190413975886	0.3374519392287879	0.3844861696965172	0.4590690208667737	0.47265668744633993	0.35298070103400647	0.3390197469110456	0.33782522677218263	0.2985927059614021	0.41845533614543284	0.39045877039083204	0.4525738176117063	0.49027585949456864	0.47698682294971817	0.38743514128933515	0.43924745231251633	0.45582141923923997	0.4217029377729665	0.40938444884094216	0.41035499645376833	0.3723916532905297	0.3764231587591922	0.38250774571652546	0.39728993243495464	0.3809026092799283	0.37220500951883234	0.46478032028071226	0.4516779275075591	0.3686587778565829	0.39568479599835754	0.37220500951883234	0.5380193362947479	0.3807532942625705	0.5561984396580686
BS0F1s_4	0.5000186643771697	0.39725260368061516	0.42140430773825077	0.0	0.41923923998656165	0.40165739669267236	0.4788159319123521	0.3613050132517078	0.42002314382769046	0.42140430773825077	0.4753070290044421	0.34969577065213336	0.3388704318936877	0.3881070588674456	0.4128186942401732	0.44880361342342007	0.5352570084736272	0.3846354847138751	0.44835566837134644	0.3563029601702191	0.3975512337153309	0.47258202993766096	0.3178543432005674	0.4965470902235992	0.5093508529620366	0.46425771771995966	0.429803277464631	0.4647429915263728	0.5055059912650715	0.44742244951285975	0.3709731606256299	0.4525364888573668	0.4446974504460786	0.43402142670499083	0.4019933554817276	0.5052446899846952	0.39486356340288925	0.40098547911456195	0.4088618462801896	0.5440292657434022	0.4478703945649334	0.4896785994251372	0.421740266527306	0.6108104072567099	0.40023890402777257	0.532606666915525
BS0F2s_1	0.33924371943708237	0.3025868826757251	0.3967300011198626	0.41923923998656165	0.0	0.335062898951062	0.45966628093620515	0.3679868602784725	0.3526074134906118	0.3815745268580387	0.4306245100600993	0.35858001418492663	0.4250625256635186	0.2987046922244205	0.365709806263765	0.4843032588002538	0.4661241554369331	0.3343909813729516	0.4302512225167046	0.401470752920975	0.3641046698271679	0.4183806786367539	0.39426630333345775	0.40176938295569076	0.4599649109709209	0.44906491470379634	0.41472246071148605	0.40456903953115086	0.3379745417895405	0.38661390869386686	0.40998170891037367	0.38818171637612453	0.32330434133412966	0.3756392549180634	0.31143379745417893	0.36395535480981	0.3445444025532868	0.3901601403561163	0.40255328679681956	0.39337041322931054	0.3418940609951846	0.38329164955765427	0.34969577065213336	0.5242450259434842	0.36078241069095524	0.5706446675874426
BS0F2s_2	0.4271902646608683	0.2810481914218523	0.32793310687222366	0.40165739669267236	0.335062898951062	0.0	0.4053156146179402	0.38892829146291386	0.39393034454440257	0.38101459554294675	0.4639964164395834	0.33468961140766734	0.430923140094815	0.306170443092314	0.3312553660084363	0.4822875060659226	0.5056926350367689	0.3372652954570906	0.4084512299824555	0.3693680241890328	0.3441711150098921	0.46511627906976744	0.37728172010899996	0.49975736309679347	0.5047220874239426	0.44428683414834447	0.4180073910933592	0.4462652581283363	0.471462167307477	0.3919145918100713	0.4233827317182426	0.4350293030721565	0.3366680353876591	0.35984919183246855	0.39116801672328194	0.4156930083243122	0.3566762477136138	0.3487625517936466	0.42065773265146145	0.48232483482026206	0.3938930157900631	0.4250251969091791	0.38131322557766245	0.5768039120534548	0.3437231699578185	0.5756093919145918
BS0F2s_3	0.47702415170405765	0.43932210982119524	0.48105565717272014	0.4788159319123521	0.45966628093620515	0.4053156146179402	0.0	0.46590018291089624	0.512411810817873	0.44581731307626266	0.5476128261599911	0.44365224532457354	0.5082683190861921	0.4463772443913547	0.4121094479077233	0.502034417111501	0.5687782298704692	0.4792638769644257	0.5099107842771287	0.45350703647019297	0.49871215797528834	0.5466049497928254	0.477770726790847	0.5868453469707716	0.5591100824965471	0.40874986001717123	0.4880361342342006	0.5255142035910262	0.5598566575833365	0.47041696218597184	0.4828847661353541	0.5625443278957781	0.4793758632274441	0.4781066855799022	0.4952032550673784	0.5479487849490462	0.49538989883907575	0.43831423345402964	0.48325805367874874	0.5935645227518758	0.5363022135951323	0.5278285863600731	0.521669341894061	0.6607562805629176	0.47814401433424164	0.6068908880510657
BS0F2s_4	0.4689984695210721	0.3669416551569674	0.4062488334764269	0.3613050132517078	0.3679868602784725	0.38892829146291386	0.46590018291089624	0.0	0.39269849565120013	0.42327074545522414	0.48781216170816377	0.3061331143379745	0.4066221210198216	0.36593377878980177	0.35544439882041134	0.42920601739519953	0.517040576355967	0.31016461980663707	0.4233080742095636	0.3706372018365747	0.3981858225391019	0.4631005263354362	0.300981746239128	0.5009892119899959	0.451192653701146	0.464519019000336	0.3520474821755198	0.46071148605771023	0.4805330546119676	0.35383926238381425	0.40191869797304863	0.41912725372354326	0.35660159020493487	0.39404233080742096	0.3976258912240099	0.44301765650080255	0.35536974131173243	0.3266266004703423	0.28892455858747995	0.48799880547986113	0.42752622344992347	0.4317817014446228	0.3625368621449102	0.5211467393333085	0.36212624584717606	0.48878270932098994
BS1F1s_1	0.3883683601478219	0.430363208779723	0.33222591362126247	0.42002314382769046	0.3526074134906118	0.39393034454440257	0.512411810817873	0.39269849565120013	0.0	0.3847474709768935	0.391653290529695	0.3647392586509388	0.3440591287468737	0.34988241442383067	0.45182724252491696	0.4810929859270596	0.4721714136399268	0.37418343349882416	0.3901974691104558	0.395162193437605	0.30893277091343463	0.3678002165067752	0.3716077494494009	0.3330844749710702	0.47030497592295345	0.48247414983761994	0.44301765650080255	0.40412109447907724	0.38332897831199375	0.45962895218186567	0.4320056739706596	0.3588039867109635	0.38780842883272987	0.38418753966180147	0.3519354959125014	0.387024524991601	0.3805666504908731	0.43991936989062674	0.47504572772406584	0.38250774571652546	0.3490611818283624	0.40456903953115086	0.38112658180596515	0.5208107805442532	0.45279779013774313	0.5776624734032625
BS1F1s_2	0.4187166374258091	0.35301802978834596	0.4272649221695472	0.42140430773825077	0.3815745268580387	0.38101459554294675	0.44581731307626266	0.42327074545522414	0.3847474709768935	0.0	0.3821717869274702	0.389973496584419	0.3611556982343499	0.35749748030908207	0.43226697525103586	0.471387509798798	0.49240359849191834	0.3918026055470529	0.4516032699988801	0.40031356153645153	0.3913173317406398	0.4510433386837881	0.38183582813841505	0.43383478293329353	0.4647056627720333	0.45078203740341183	0.4856097652021352	0.4423830676770316	0.48616969651722725	0.48012243831423346	0.4228974579118295	0.3901601403561163	0.41602896711336745	0.39740191869797303	0.4804957258576281	0.42140430773825077	0.37601254246145804	0.41084027026018144	0.44339094404419727	0.46806525066258536	0.4404419724513793	0.4706782634663481	0.4469371757064467	0.5579528911120236	0.4273769084325656	0.5624696703870992
BS1F1s_3	0.5066258538952555	0.43525327559819327	0.48728955914741123	0.4753070290044421	0.4306245100600993	0.4639964164395834	0.5476128261599911	0.48781216170816377	0.391653290529695	0.3821717869274702	0.0	0.46115943110978386	0.34861323677628875	0.4811303146813991	0.5197655754227481	0.47732278173877335	0.5424614580611445	0.46201799245959163	0.556310425921087	0.4789279181753705	0.4174474597782672	0.5125237970808915	0.43633580947403783	0.48728955914741123	0.5741535704953525	0.5698234349919743	0.5627683004218149	0.5267087237298891	0.5254022173280077	0.5210720818246295	0.48325805367874874	0.43010190749934674	0.5089402366643025	0.4940460636828549	0.512486468326552	0.47041696218597184	0.44652655940871255	0.4942700362088917	0.5302176266377991	0.44891559968643846	0.5181977677404905	0.4868789428496771	0.5166672888125723	0.5894210310201948	0.536115569823435	0.518795027809922
BS1F1s_4	0.4252118406808765	0.33386837881219905	0.33244988614729926	0.34969577065213336	0.35858001418492663	0.33468961140766734	0.44365224532457354	0.3061331143379745	0.3647392586509388	0.389973496584419	0.46115943110978386	0.0	0.35846802792190824	0.2923961327410504	0.3091567434394714	0.41255739295979693	0.4903878457575871	0.3144574265556758	0.38818171637612453	0.3155399604315204	0.3609317257083131	0.4243159505767293	0.28138415021090746	0.46115943110978386	0.4729553174810557	0.4272275934152077	0.3197954384262197	0.4354772481242301	0.44062861622307664	0.37877487028257867	0.36600843629848073	0.415916980850349	0.35174885214080404	0.3664190525962149	0.3475307029004442	0.4167382134458173	0.3442457725185711	0.3221098211952667	0.3435365261861212	0.4557094329762216	0.37496733733995297	0.3822837731904886	0.34756803165478367	0.564448094367091	0.3225950950016798	0.5255515323453657
BS1F2s_1	0.46246593751166526	0.4113255440665945	0.3991190413975886	0.3388704318936877	0.4250625256635186	0.430923140094815	0.5082683190861921	0.4066221210198216	0.3440591287468737	0.3611556982343499	0.34861323677628875	0.35846802792190824	0.0	0.3995296576953227	0.4420471088879764	0.42834745604539176	0.4775467542648102	0.38665123744820634	0.4438015603419314	0.3960954122960917	0.36761357273507783	0.4591810071297921	0.3554817275747508	0.4379782746649744	0.49464332375228637	0.5054313337563926	0.4584344320430027	0.4454813542872074	0.49374743364813917	0.466198812945612	0.4074806823696293	0.38889096270857443	0.4327895778117884	0.4247265668744634	0.4639217589309045	0.4393967673298742	0.3723543245361902	0.4112508865579156	0.4532830639441562	0.4500354623166225	0.4585090895516817	0.4393967673298742	0.430923140094815	0.5512337153309194	0.43842621971704804	0.5115159207137258
BS1F2s_2	0.3404009108216059	0.3150546866251073	0.3374519392287879	0.3881070588674456	0.2987046922244205	0.306170443092314	0.4463772443913547	0.36593377878980177	0.34988241442383067	0.35749748030908207	0.4811303146813991	0.2923961327410504	0.3995296576953227	0.0	0.3277837918548658	0.4545149128373586	0.43853820598006643	0.32867968195901304	0.3497330994064728	0.3567882339766322	0.33603344656388817	0.40852588749113444	0.35839337041322933	0.4249505394005002	0.4113255440665945	0.4217029377729665	0.3704132293105379	0.3828810332599201	0.3535406323490985	0.39799917876740454	0.3861659636417933	0.35372727612079585	0.33039680465862853	0.3440964575012132	0.3554817275747508	0.38743514128933515	0.33465228265332786	0.3907574004255478	0.3896002090410243	0.4144611594311098	0.3147560565903916	0.3689200791369592	0.3154653029228415	0.49710702153869124	0.32864235320467355	0.5588861099705102
BS1F2s_3	0.4341707417223487	0.31804098697226474	0.3844861696965172	0.4128186942401732	0.365709806263765	0.3312553660084363	0.4121094479077233	0.35544439882041134	0.45182724252491696	0.43226697525103586	0.5197655754227481	0.3091567434394714	0.4420471088879764	0.3277837918548658	0.0	0.43913546604949794	0.5081190040688343	0.3547351524879615	0.4104669827167867	0.37257829706222706	0.41856732240845124	0.49303818731568927	0.3890029489715928	0.5510470715592221	0.5027809921982903	0.4183806786367539	0.39183993430139236	0.45802381574526857	0.4768375079323603	0.34446974504460787	0.4082272574564187	0.4629885400724178	0.3771324050916421	0.40255328679681956	0.3993056851692859	0.46567621038485946	0.39784986375004666	0.3570495352570085	0.39971630146702003	0.495651200119452	0.42618238829370264	0.42147896524692974	0.4001269177647542	0.5976333569748777	0.33118070849975734	0.5630669304565307
BS1F2s_4	0.5163313300235172	0.44003135615364514	0.4590690208667737	0.44880361342342007	0.4843032588002538	0.4822875060659226	0.502034417111501	0.42920601739519953	0.4810929859270596	0.471387509798798	0.47732278173877335	0.41255739295979693	0.42834745604539176	0.4545149128373586	0.43913546604949794	0.0	0.5114412632050468	0.42480122438314233	0.47553100153047895	0.41151218783829185	0.4648176490350517	0.5005039381835829	0.41759677479562507	0.5379820075404084	0.5245809847325394	0.5090148941729814	0.45145395498152224	0.4821381910485647	0.521184068087648	0.4507073798947329	0.4097204076299974	0.49259024226361564	0.47691216544103926	0.47713613796707605	0.4554481316958453	0.5288364627272388	0.45873306207771847	0.42916868864086005	0.4653402515958042	0.5294710515510097	0.4806077121206465	0.4589197058494158	0.47780805554518646	0.5859867856209638	0.4576878569562134	0.44846765463436483
