	DS0F1s_1	DS0F1s_2	DS0F1s_3	DS0F1s_4	DS0F2s_2	DS0F2s_3	DS0F2s_4	DS1F1s_1	DS1F1s_2	DS1F1s_3	DS1F1s_4	DS1F2s_1	DS1F2s_2	DS1F2s_3	DS1F2s_4
DS0F1s_1	0.0	0.4723207286572847	0.43446937175706446	0.4823621635746015	0.44596662809362053	0.4614580611444996	0.4811303146813991	0.4782186718429206	0.4461906006196573	0.5109186606442943	0.518795027809922	0.47851730187763636	0.4462652581283363	0.5056553062824294	0.5004292806749039
DS0F1s_2	0.4723207286572847	0.0	0.3419687185038635	0.34297659487102916	0.322371122475643	0.4225241703684348	0.32476016275336894	0.4514912837358617	0.4555974467132032	0.4346560155287618	0.3670536414199858	0.41472246071148605	0.43081115383179663	0.3664190525962149	0.3698532979954459
DS0F1s_3	0.43446937175706446	0.3419687185038635	0.0	0.3707865168539326	0.3686214491022435	0.366829668893949	0.398036507521744	0.44648923065437307	0.429803277464631	0.4487289559147411	0.39083205793422676	0.38191048564709396	0.4288700586061443	0.4309604688491545	0.396282056067789
DS0F1s_4	0.4823621635746015	0.34297659487102916	0.3707865168539326	0.0	0.3641419985815073	0.4165142409197805	0.32035536974131174	0.4675799768561723	0.473141961252753	0.4250998544178581	0.33763858300048527	0.41797006233901973	0.4628392250550599	0.38806973011310614	0.3855313748180223
DS0F2s_2	0.44596662809362053	0.322371122475643	0.3686214491022435	0.3641419985815073	0.0	0.36899473664563814	0.35615364515286124	0.39254918063384225	0.45332039269849567	0.4698570308708798	0.4212549927208929	0.437940945910635	0.419425883758259	0.41087759901452087	0.3960954122960917
DS0F2s_3	0.4614580611444996	0.4225241703684348	0.366829668893949	0.4165142409197805	0.36899473664563814	0.0	0.41554369330695434	0.37463137855089773	0.46743066183881443	0.4934488036134234	0.45955429467318676	0.43991936989062674	0.388219045130464	0.46179401993355484	0.43148307140990705
DS0F2s_4	0.4811303146813991	0.32476016275336894	0.398036507521744	0.32035536974131174	0.35615364515286124	0.41554369330695434	0.0	0.449998133562283	0.47261935869200045	0.4380529321736534	0.35510844003135617	0.43618649445668	0.45731456941281867	0.40860054499981335	0.36675501138527006
DS1F1s_1	0.4782186718429206	0.4514912837358617	0.44648923065437307	0.4675799768561723	0.39254918063384225	0.37463137855089773	0.449998133562283	0.0	0.47564298779349734	0.5323080368808093	0.5209600955616112	0.41334129680092574	0.3769084325656053	0.5461943334950913	0.4791145619470678
DS1F1s_2	0.4461906006196573	0.4555974467132032	0.429803277464631	0.473141961252753	0.45332039269849567	0.46743066183881443	0.47261935869200045	0.47564298779349734	0.0	0.4813542872074359	0.4554481316958453	0.4346560155287618	0.40561424465265594	0.4745604539176528	0.4728060024636978
DS1F1s_3	0.5109186606442943	0.4346560155287618	0.4487289559147411	0.4250998544178581	0.4698570308708798	0.4934488036134234	0.4380529321736534	0.5323080368808093	0.4813542872074359	0.0	0.43599985068498265	0.47721079547575496	0.519354959125014	0.42756355220426295	0.4376796446302587
DS1F1s_4	0.518795027809922	0.3670536414199858	0.39083205793422676	0.33763858300048527	0.4212549927208929	0.45955429467318676	0.35510844003135617	0.5209600955616112	0.4554481316958453	0.43599985068498265	0.0	0.4574265556758371	0.47403785135690024	0.35831871290455036	0.38504610101160924
DS1F2s_1	0.47851730187763636	0.41472246071148605	0.38191048564709396	0.41797006233901973	0.437940945910635	0.43991936989062674	0.43618649445668	0.41334129680092574	0.4346560155287618	0.47721079547575496	0.4574265556758371	0.0	0.39844712381947817	0.4850498338870432	0.42532382694389487
DS1F2s_2	0.4462652581283363	0.43081115383179663	0.4288700586061443	0.4628392250550599	0.419425883758259	0.388219045130464	0.45731456941281867	0.3769084325656053	0.40561424465265594	0.519354959125014	0.47403785135690024	0.39844712381947817	0.0	0.4828847661353541	0.4766881929150024
DS1F2s_3	0.5056553062824294	0.3664190525962149	0.4309604688491545	0.38806973011310614	0.41087759901452087	0.46179401993355484	0.40860054499981335	0.5461943334950913	0.4745604539176528	0.42756355220426295	0.35831871290455036	0.4850498338870432	0.4828847661353541	0.0	0.41782074732166186
DS1F2s_4	0.5004292806749039	0.3698532979954459	0.396282056067789	0.3855313748180223	0.3960954122960917	0.43148307140990705	0.36675501138527006	0.4791145619470678	0.4728060024636978	0.4376796446302587	0.38504610101160924	0.42532382694389487	0.4766881929150024	0.41782074732166186	0.0
