	DS0F1s_1	DS0F1s_2	DS0F1s_3	DS0F1s_4	DS0F2s_2	DS0F2s_3	DS0F2s_4	DS1F1s_1	DS1F1s_2	DS1F1s_3	DS1F1s_4	DS1F2s_1	DS1F2s_2	DS1F2s_3	DS1F2s_4
DS0F1s_1	0.0	0.2885802311845444	0.2835868832488646	0.2958983116008803	0.31968656911087984	0.29381878690950536	0.30870403136596847	0.3145357516162092	0.2907673044064352	0.34483053458121776	0.29978970578530745	0.2784368245751814	0.29638027395862176	0.2956626264776171	0.2608776122319336
DS0F1s_2	0.2885802311845444	0.0	0.20352656530327912	0.21426827565357706	0.23160546494002174	0.2315491921625938	0.16337856646261809	0.2562686789779094	0.225020071366515	0.28876230620743776	0.21075402616161243	0.21017103638629708	0.22199838266275873	0.1863704458123927	0.2243753400277663
DS0F1s_3	0.2835868832488646	0.20352656530327912	0.0	0.21129018840594407	0.24632009871827057	0.2083949961202162	0.24331417614281411	0.28905348691627947	0.2472903549740462	0.316749596881582	0.21810358647957012	0.22597009902187284	0.25867819265702396	0.25737030982231485	0.23227371549947406
DS0F1s_4	0.2958983116008803	0.21426827565357706	0.21129018840594407	0.0	0.22542410868424223	0.2358594527336044	0.19118459168937388	0.28470442673217233	0.2872894490215173	0.2795813406560675	0.2021748118290486	0.2526385301365281	0.2768321786110825	0.2219858560191602	0.2389471924469579
DS0F2s_2	0.31968656911087984	0.23160546494002174	0.24632009871827057	0.22542410868424223	0.0	0.22384813511172127	0.22864789048526654	0.24726500574308072	0.3030493430767295	0.3334335338755934	0.28485373065673697	0.2680239141656618	0.2602824169366678	0.27234910910596954	0.2762546614157199
DS0F2s_3	0.29381878690950536	0.2315491921625938	0.2083949961202162	0.2358594527336044	0.22384813511172127	0.0	0.24050692332774712	0.2350454963394138	0.28937959642675226	0.35101898480687005	0.2868659433279708	0.24368238883412802	0.2311422747209837	0.2541510395692047	0.2543308573027881
DS0F2s_4	0.30870403136596847	0.16337856646261809	0.24331417614281411	0.19118459168937388	0.22864789048526654	0.24050692332774712	0.0	0.25261937451322414	0.24477326240438568	0.28823802060148623	0.22343955781775357	0.21199392319602745	0.2279003741514627	0.22123162080209718	0.23397099412792713
DS1F1s_1	0.3145357516162092	0.2562686789779094	0.28905348691627947	0.28470442673217233	0.24726500574308072	0.2350454963394138	0.25261937451322414	0.0	0.28535051223207875	0.35001929759630657	0.3100532032787194	0.2363225910068541	0.2150623579777012	0.3047288493375515	0.2912601684789182
DS1F1s_2	0.2907673044064352	0.225020071366515	0.2472903549740462	0.2872894490215173	0.3030493430767295	0.28937959642675226	0.24477326240438568	0.28535051223207875	0.0	0.31947835845161787	0.2512884031917227	0.21950680307816864	0.2191971625994097	0.2759696628539412	0.2695444432421651
DS1F1s_3	0.34483053458121776	0.28876230620743776	0.316749596881582	0.2795813406560675	0.3334335338755934	0.35101898480687005	0.28823802060148623	0.35001929759630657	0.31947835845161787	0.0	0.30337107319491363	0.29562121371331357	0.32750064916299204	0.29225397318049146	0.30153318427404097
DS1F1s_4	0.29978970578530745	0.21075402616161243	0.21810358647957012	0.2021748118290486	0.28485373065673697	0.2868659433279708	0.22343955781775357	0.3100532032787194	0.2512884031917227	0.30337107319491363	0.0	0.2475189052805495	0.2726984347769023	0.23924994028583554	0.23675566667443967
DS1F2s_1	0.2784368245751814	0.21017103638629708	0.22597009902187284	0.2526385301365281	0.2680239141656618	0.24368238883412802	0.21199392319602745	0.2363225910068541	0.21950680307816864	0.29562121371331357	0.2475189052805495	0.0	0.1960615500664872	0.2551646351534573	0.24420631721015898
DS1F2s_2	0.29638027395862176	0.22199838266275873	0.25867819265702396	0.2768321786110825	0.2602824169366678	0.2311422747209837	0.2279003741514627	0.2150623579777012	0.2191971625994097	0.32750064916299204	0.2726984347769023	0.1960615500664872	0.0	0.2733472905909994	0.27539164458396226
DS1F2s_3	0.2956626264776171	0.1863704458123927	0.25737030982231485	0.2219858560191602	0.27234910910596954	0.2541510395692047	0.22123162080209718	0.3047288493375515	0.2759696628539412	0.29225397318049146	0.23924994028583554	0.2551646351534573	0.2733472905909994	0.0	0.2542305397924668
DS1F2s_4	0.2608776122319336	0.2243753400277663	0.23227371549947406	0.2389471924469579	0.2762546614157199	0.2543308573027881	0.23397099412792713	0.2912601684789182	0.2695444432421651	0.30153318427404097	0.23675566667443967	0.24420631721015898	0.27539164458396226	0.2542305397924668	0.0
