ID,TS0F1s_1,TS0F1s_2,TS0F1s_3,TS0F1s_4,TS0F2s_1,TS0F2s_2,TS0F2s_3,TS0F2s_4,TS1F1s_1,TS1F1s_3,TS1F1s_4,TS1F2s_1,TS1F2s_2,TS1F2s_3,TS1F2s_4
OTU_1,2352,1606,1473,1173,1970,1607,1691,1899,3005,1777,1541,1609,1408,1544,1393
OTU_10,318,340,246,252,231,283,264,467,467,173,1367,301,278,262,166
OTU_100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1002,6,163,11,15,0,9,9,61,4,17,1,4,1,11,5
OTU_1003,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
OTU_1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1006,1,4,0,1,0,2,0,0,0,0,0,0,0,0,0
OTU_1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1008,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OTU_1009,7,0,0,1,0,27,0,0,0,0,2,0,2,2,0
OTU_101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1010,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0
OTU_1011,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
OTU_1012,0,0,0,0,0,0,3,0,0,0,0,0,2,1,0
OTU_1013,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
OTU_1015,0,1,0,0,0,3,1,0,0,1,3,0,1,1,0
OTU_1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1017,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0
OTU_1018,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU_102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1020,3,1,1,0,3,0,12,0,15,1,0,0,1,0,4
OTU_1021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1022,1,0,1,0,0,0,1,0,0,0,0,2,0,2,0
OTU_1023,1,1,21,1,2,12,2,4,0,3,30,3,0,4,70
OTU_1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1025,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0
OTU_1026,0,0,0,0,0,1,0,0,2,0,0,4,0,2,0
OTU_1027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1028,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU_1029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_103,0,0,9,0,1,0,0,0,0,0,0,0,1,0,0
OTU_1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1031,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1033,13,39,6,6,6,35,35,234,23,3,52,54,2,46,0
OTU_1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
