	TS0F1s_1	TS0F1s_2	TS0F1s_3	TS0F1s_4	TS0F2s_1	TS0F2s_2	TS0F2s_3	TS0F2s_4	TS1F1s_1	TS1F1s_3	TS1F1s_4	TS1F2s_1	TS1F2s_2	TS1F2s_3	TS1F2s_4
TS0F1s_1	0.0	0.3624248758818918	0.4017320542013513	0.4217029377729665	0.305610511777222	0.38646459367650904	0.4491022434581358	0.48993990070551346	0.3177050281832095	0.32550673784015827	0.36447795737056254	0.3750419948486319	0.43891149352346115	0.42286012915749	0.5464183060211281
TS0F1s_2	0.3624248758818918	0.0	0.36201425958415767	0.3566762477136138	0.38780842883272987	0.3374519392287879	0.34241666355593714	0.39695397364589946	0.42536115569823435	0.3313300235171152	0.35693754899399005	0.3228190675277166	0.4920303109485237	0.3283437231699578	0.5570943297622158
TS0F1s_3	0.4017320542013513	0.36201425958415767	0.0	0.38713651125461945	0.40804061368472133	0.38194781440143344	0.3901974691104558	0.4289073873604838	0.46414573145694127	0.3747060360595767	0.4012841091492777	0.3713464481690246	0.5368248161558848	0.37149576318638244	0.5694501474485797
TS0F1s_4	0.4217029377729665	0.3566762477136138	0.38713651125461945	0.0	0.41714882974355144	0.3936317145096868	0.41554369330695434	0.43077382507745715	0.42237485535107694	0.3321139273582441	0.36813617529583037	0.34167008846914776	0.5307402291985517	0.38049199298219416	0.5578409048490052
TS0F2s_1	0.305610511777222	0.38780842883272987	0.40804061368472133	0.41714882974355144	0.0	0.3898615103214006	0.449998133562283	0.4846018888349696	0.3535406323490985	0.35839337041322933	0.3648885736682967	0.3846354847138751	0.4649296352980701	0.42976594871029156	0.5892343872484975
TS0F2s_2	0.38646459367650904	0.3374519392287879	0.38194781440143344	0.3936317145096868	0.3898615103214006	0.0	0.35413789241853	0.38191048564709396	0.4455560117958864	0.37045055806487737	0.3922505505991265	0.33801187054387993	0.48915599686438466	0.3480159767068573	0.4599649109709209
TS0F2s_3	0.4491022434581358	0.34241666355593714	0.3901974691104558	0.41554369330695434	0.449998133562283	0.35413789241853	0.0	0.39788719250438614	0.5047220874239426	0.4037478069356826	0.41319198178356786	0.3824330882078465	0.531001530478928	0.3357721452835119	0.45503751539811116
TS0F2s_4	0.48993990070551346	0.39695397364589946	0.4289073873604838	0.43077382507745715	0.4846018888349696	0.38191048564709396	0.39788719250438614	0.0	0.5302176266377991	0.43540259061555114	0.4489902571951174	0.409048490051887	0.5936391802605547	0.3624622046362313	0.5417148829743551
TS1F1s_1	0.3177050281832095	0.42536115569823435	0.46414573145694127	0.42237485535107694	0.3535406323490985	0.4455560117958864	0.5047220874239426	0.5302176266377991	0.0	0.3442831012729105	0.37437007727052146	0.3839635671357647	0.48728955914741123	0.46190600619657324	0.6016648624435402
TS1F1s_3	0.32550673784015827	0.3313300235171152	0.3747060360595767	0.3321139273582441	0.35839337041322933	0.37045055806487737	0.4037478069356826	0.43540259061555114	0.3442831012729105	0.0	0.3002724999066781	0.31483071409907054	0.45653066557168986	0.3413341296800926	0.5432826906566128
TS1F1s_4	0.36447795737056254	0.35693754899399005	0.4012841091492777	0.36813617529583037	0.3648885736682967	0.3922505505991265	0.41319198178356786	0.4489902571951174	0.37437007727052146	0.3002724999066781	0.0	0.3381611855612378	0.468513195714659	0.3785882265108813	0.5178244801970958
TS1F2s_1	0.3750419948486319	0.3228190675277166	0.3713464481690246	0.34167008846914776	0.3846354847138751	0.33801187054387993	0.3824330882078465	0.409048490051887	0.3839635671357647	0.31483071409907054	0.3381611855612378	0.0	0.47023031841427454	0.3224831087386614	0.5198029041770876
TS1F2s_2	0.43891149352346115	0.4920303109485237	0.5368248161558848	0.5307402291985517	0.4649296352980701	0.48915599686438466	0.531001530478928	0.5936391802605547	0.48728955914741123	0.45653066557168986	0.468513195714659	0.47023031841427454	0.0	0.5532494680652507	0.5077457165254395
TS1F2s_3	0.42286012915749	0.3283437231699578	0.37149576318638244	0.38049199298219416	0.42976594871029156	0.3480159767068573	0.3357721452835119	0.3624622046362313	0.46190600619657324	0.3413341296800926	0.3785882265108813	0.3224831087386614	0.5532494680652507	0.0	0.5078203740341185
TS1F2s_4	0.5464183060211281	0.5570943297622158	0.5694501474485797	0.5578409048490052	0.5892343872484975	0.4599649109709209	0.45503751539811116	0.5417148829743551	0.6016648624435402	0.5432826906566128	0.5178244801970958	0.5198029041770876	0.5077457165254395	0.5078203740341185	0.0
