	BS0F1s_1	BS0F1s_2	BS0F1s_3	BS0F1s_4	BS0F2s_1	BS0F2s_2	BS0F2s_3	BS0F2s_4	BS1F1s_1	BS1F1s_2	BS1F1s_3	BS1F1s_4	BS1F2s_1	BS1F2s_2	BS1F2s_3	BS1F2s_4	DS0F1s_1	DS0F1s_2	DS0F1s_3	DS0F1s_4	DS0F2s_2	DS0F2s_3	DS0F2s_4	DS1F1s_1	DS1F1s_2	DS1F1s_3	DS1F1s_4	DS1F2s_1	DS1F2s_2	DS1F2s_3	DS1F2s_4	TS0F1s_1	TS0F1s_2	TS0F1s_3	TS0F1s_4	TS0F2s_1	TS0F2s_2	TS0F2s_3	TS0F2s_4	TS1F1s_1	TS1F1s_3	TS1F1s_4	TS1F2s_1	TS1F2s_2	TS1F2s_3	TS1F2s_4
BS0F1s_1	0.0	0.24868674168680271	0.26451823909186445	0.31250555483281256	0.20615886869054276	0.22868478568230663	0.3408048346858384	0.27121160273582867	0.241774052002284	0.22324621000352513	0.3111602546069233	0.24753791627597863	0.2934553211132484	0.17691933749247887	0.2465622476656244	0.34440526343994804	0.27856422774240913	0.27218761350280835	0.25915853491517615	0.27692408334052643	0.25773933197312104	0.2532462717257508	0.2704128854168022	0.28065207347581916	0.27825625546667654	0.3072201372438856	0.2794716089720118	0.2422438411014869	0.2266240025864415	0.2997933612836335	0.2786248001762837	0.24078790800914424	0.2712342070174895	0.2478202193737884	0.24418520490772286	0.2693669371119872	0.24881112108648307	0.2953334973512666	0.2814427431602028	0.2976532370676604	0.2318536828083756	0.246945399225246	0.1995045694121871	0.3642531934989349	0.2345845246407841	0.40971417450858444
BS0F1s_2	0.24868674168680271	0.0	0.2474917919949737	0.2433015055148197	0.1692488220493635	0.16474464486020066	0.30467917918860804	0.19696812667973634	0.2593254108684907	0.1862068158209921	0.27677888320034777	0.20562592377982636	0.255791296136617	0.18195490409185916	0.15913397124640016	0.28563831334619755	0.29635393338784966	0.18772316053588675	0.2712083723590579	0.23363070197021665	0.2800284104511828	0.30065034845614796	0.22258706383230745	0.2934433117807137	0.28474546655377064	0.24910799436369474	0.23982428646860657	0.2452640624049433	0.29377347119185987	0.20052026353704583	0.2318499426945644	0.25851165377750185	0.19085736010638962	0.28419775240823614	0.2385582070377071	0.29829547860173683	0.19739114676140745	0.21510208030661973	0.24436789615405038	0.3095644157910094	0.2520371389191349	0.2403792915523543	0.22918937966447991	0.3695394291208504	0.1881526800006373	0.3790941988610427
BS0F1s_3	0.26451823909186445	0.2474917919949737	0.0	0.28570289007774996	0.2630324570745654	0.18786817739562423	0.3651671699608742	0.2783266622601623	0.19005679655636115	0.2540795904109233	0.31063020170922845	0.21871540950485854	0.2652369302617568	0.2088613445274994	0.2542059846681396	0.31756674889902353	0.3124576605706657	0.2349642868759357	0.24062456037832106	0.2008493909829484	0.18164990205584292	0.2454843074872549	0.24400789197370687	0.26527402193018634	0.31331574124473277	0.319967553954941	0.25604739388180137	0.2794934221854004	0.3002729026445829	0.29807338283729207	0.26668298052014466	0.2521256340501186	0.26913259712214266	0.29266508269327074	0.2524240212883306	0.2662954983009638	0.2383252712672425	0.2529572094912932	0.30931264649339635	0.306517482794173	0.2352038700566788	0.24030744330802245	0.23742619859003147	0.37731556420134993	0.2524194141047949	0.37198370645869877
BS0F1s_4	0.31250555483281256	0.2433015055148197	0.28570289007774996	0.0	0.27018261434081076	0.2408606980054227	0.35990863261489103	0.22964271449774018	0.26785281252295756	0.24806978152392875	0.30957541693483037	0.20039989317641127	0.21285625222856436	0.23770436983258733	0.22302013291322104	0.3105937792636456	0.3572769947331324	0.2456805609315739	0.289428987167987	0.22349135855301477	0.27220768960102065	0.29545764568622274	0.18969256503398046	0.3077474458976577	0.3171870716469991	0.30109393190357675	0.2847531120005894	0.28217635721101797	0.30970243967768707	0.28404721988127823	0.2624947756280489	0.26861762313577087	0.2937190144353605	0.3115230482712992	0.24666122585678626	0.3242816210305334	0.2322294625901241	0.25357494916387335	0.2714624530290506	0.3634963369492886	0.2660842678295599	0.30787323416841694	0.25533717887379476	0.4026952202445924	0.24615567774795763	0.358116412238408
BS0F2s_1	0.20615886869054276	0.1692488220493635	0.2630324570745654	0.27018261434081076	0.0	0.2037031773419986	0.35257503678346047	0.21172334732177536	0.2277726829317698	0.21999236153541898	0.2638742429874768	0.21598956364445712	0.27269622286875356	0.16977737434980048	0.19651287542365536	0.3053043809147287	0.29352649908562406	0.18942391466075714	0.26455926954853426	0.26925058061111107	0.2635615345424157	0.2515222382760545	0.22269787250585213	0.22480865945432787	0.2701617879573747	0.28554232057534373	0.24361996715977124	0.20975482692900677	0.1969329941323484	0.23145639918055913	0.2491594608287646	0.20662762308585095	0.19455774349721114	0.28989332372889376	0.1827009153197245	0.23938865446607088	0.19578440690083426	0.2299374903503389	0.25613063782146644	0.23992036178532236	0.18105868660594987	0.20541146301016444	0.20199322188936408	0.33516169956128966	0.19546867728634246	0.38477961617243284
BS0F2s_2	0.22868478568230663	0.16474464486020066	0.18786817739562423	0.2408606980054227	0.2037031773419986	0.0	0.29241417931957214	0.22598944873938026	0.21896258646894734	0.20360833053972557	0.2720784635096016	0.19254129460384528	0.2408429750089596	0.17365849079189222	0.1790114336859338	0.3102649313246099	0.30796170082918134	0.20187286801216806	0.24407105761191075	0.21214909571441926	0.20394353968571682	0.25983268647942603	0.21203910594580988	0.2714493581960647	0.29739599857021604	0.2646554144985933	0.2537462423959562	0.2589333372305029	0.288706574260579	0.2379251616803167	0.2564860545760298	0.24588420161181423	0.22102913946206626	0.27290995655496203	0.2414027810790483	0.24020242931025138	0.19487232832599571	0.22188415397963757	0.2655854431130593	0.2970417809258961	0.24245216629058336	0.22831316977504273	0.21998766548385232	0.3638223235658278	0.20792699516249757	0.3687754315325361
BS0F2s_3	0.3408048346858384	0.30467917918860804	0.3651671699608742	0.35990863261489103	0.35257503678346047	0.29241417931957214	0.0	0.3637314145558632	0.3727399417805059	0.3049967547250284	0.4170817989346381	0.3512105917296056	0.3952443886697562	0.32742080019581615	0.29203847700196345	0.416764686110507	0.4135959911581525	0.3723068252349842	0.4052770258197221	0.34963261194884343	0.38784719342928836	0.41258342788175184	0.3642599126807994	0.4164647716174795	0.42924297137715783	0.2089113399256886	0.3848515311961593	0.37942700690313497	0.4228859577797674	0.3703956326966076	0.37558533436929986	0.4046068447998381	0.38206262608539526	0.40016729085995506	0.3892472374129022	0.425066223958575	0.3593653132314366	0.3650314816130647	0.35412271868503487	0.44235216205144035	0.40251622009249316	0.3887559136338027	0.38530942479983493	0.5078305781204304	0.35446792237984964	0.489933566843947
BS0F2s_4	0.27121160273582867	0.19696812667973634	0.2783266622601623	0.22964271449774018	0.21172334732177536	0.22598944873938026	0.3637314145558632	0.0	0.2396967137839393	0.24244355720409014	0.31326046177654276	0.1728136507965107	0.2736605343807375	0.19778197166116462	0.19463140369934856	0.26448498141026644	0.322974750522925	0.16803659419822456	0.2646405460569798	0.24286535194552175	0.29041099190904723	0.2994683396025295	0.17125781420907069	0.300242042497749	0.25530205371236814	0.2991200774212906	0.2119277314053305	0.26478482331036574	0.2545503216634394	0.2249761207000182	0.2521809245320647	0.25646573642060333	0.2084731209121639	0.27297832183096987	0.2402622543914812	0.29267570037784296	0.2146057523051283	0.19048405006610386	0.1690377263286257	0.3242624869734963	0.23541805934688917	0.2692074034307526	0.19610055350264935	0.3349947519812801	0.17711405499548824	0.3341227310594087
BS1F1s_1	0.241774052002284	0.2593254108684907	0.19005679655636115	0.26785281252295756	0.2277726829317698	0.21896258646894734	0.3727399417805059	0.2396967137839393	0.0	0.23460323720689819	0.23643907340366974	0.19822043821176444	0.22813840489369583	0.20602947140811584	0.25973374112050984	0.321034015885825	0.31508609984747704	0.23677543983100605	0.25197935598916205	0.21666969059347765	0.1921942623312735	0.22591556293770845	0.21558630812139518	0.19879379048408305	0.3134469593439376	0.32709582524091557	0.25188233811928373	0.2664178224805354	0.2413762700954659	0.3020562604960459	0.28312538782470065	0.20225798667766173	0.26556444453018363	0.27718148911553364	0.22029133846957605	0.24566901638563018	0.23145361985160554	0.2727764755612502	0.30124398760636023	0.2614300632886433	0.1925130705831081	0.21010248136360318	0.21776657537814337	0.3617114874408898	0.26292574600810004	0.38702998794656945
BS1F1s_2	0.22324621000352513	0.1862068158209921	0.2540795904109233	0.24806978152392875	0.21999236153541898	0.20360833053972557	0.3049967547250284	0.24244355720409014	0.23460323720689819	0.0	0.23579480403792077	0.21372078081790802	0.23050495683509845	0.20330682104682754	0.21056773918854918	0.2927050409766421	0.3003111357806972	0.24253846327244655	0.28631476053545535	0.24239895403547482	0.2586043692422491	0.2794744176260885	0.21321127672319187	0.2515534470513239	0.29390388720370864	0.2573675274253483	0.28239182759046083	0.25740301374008384	0.3029027581182465	0.28483784022254	0.23988716312966213	0.23804752473550886	0.28382998371130375	0.28184171111152767	0.2752803057236634	0.2971244973742989	0.21207510835377183	0.2615217257502957	0.2585828589396667	0.30467993747125216	0.2704810638185149	0.26092198602399524	0.24854149498040512	0.3690614861112325	0.2377790600081481	0.37402697278771657
