#SampleID	FTC	stover	fertilizer
BS0F1s_1	1	1	1
BS0F1s_2	1	1	1
BS0F1s_3	1	1	1
BS0F1s_4	1	1	1
BS0F2s_1	1	1	2
BS0F2s_2	1	1	2
BS0F2s_3	1	1	2
BS0F2s_4	1	1	2
BS1F1s_1	1	2	1
BS1F1s_2	1	2	1
BS1F1s_3	1	2	1
BS1F1s_4	1	2	1
BS1F2s_1	1	2	2
BS1F2s_2	1	2	2
BS1F2s_3	1	2	2
BS1F2s_4	1	2	2
DS0F1s_1	2	1	1
DS0F1s_2	2	1	1
DS0F1s_3	2	1	1
DS0F1s_4	2	1	1
DS0F2s_2	2	1	2
DS0F2s_3	2	1	2
DS0F2s_4	2	1	2
DS1F1s_1	2	2	1
DS1F1s_2	2	2	1
DS1F1s_3	2	2	1
DS1F1s_4	2	2	1
DS1F2s_1	2	2	2
DS1F2s_2	2	2	2
DS1F2s_3	2	2	2
DS1F2s_4	2	2	2
TS0F1s_1	3	1	1
TS0F1s_2	3	1	1
TS0F1s_3	3	1	1
TS0F1s_4	3	1	1
TS0F2s_1	3	1	2
TS0F2s_2	3	1	2
TS0F2s_3	3	1	2
TS0F2s_4	3	1	2
TS1F1s_1	3	2	1
TS1F1s_3	3	2	1
TS1F1s_4	3	2	1
TS1F2s_1	3	2	2
TS1F2s_2	3	2	2
TS1F2s_3	3	2	2
TS1F2s_4	3	2	2
