SampleID,animal_parasite,arbuscular_mycorrhizal,ectomycorrhizal,plant_pathogen,soil_saprotroph,litter_saprotroph,wood_saprotroph,Other_saprotroph,Others
BS0F1s_1,0.038262128,0.009966614,0.000149286,0.098548075,0.327783296,0.024002473,0.065362644,0.042890729,0.032252027
BS0F1s_2,0.022994481,0.043263763,0.001418476,0.140841442,0.198850293,0.023218126,0.084997598,0.047780213,0.031281379
BS0F1s_3,0.022247692,0.007651977,0.000559959,0.116129552,0.274702064,0.022770453,0.059315416,0.069841975,0.032177012
BS0F1s_4,0.021127987,0.027959246,0.001642364,0.091007028,0.174138086,0.029862915,0.083840336,0.04580176,0.074321476
BS0F2s_1,0.022919754,0.017469723,0.0001492,0.108402354,0.34264057,0.024263714,0.090708627,0.049796047,0.034230393
BS0F2s_2,0.011347855,0.023666551,0.001605035,0.181118764,0.220463039,0.025047449,0.073089498,0.029937493,0.030497458
BS0F2s_3,0.025346122,0.06144297,0.001791737,0.142185207,0.147560367,0.025346092,0.05976332,0.034976848,0.033408918
BS0F2s_4,0.014819458,0.016573632,0.002538354,0.089364935,0.208555426,0.020008149,0.144536977,0.103325666,0.034827181
BS1F1s_1,0.042480036,0.009443896,0.000634545,0.123446098,0.343462268,0.028780336,0.059875319,0.045092411,0.03493992
BS1F1s_2,0.051961638,0.031654638,0.000858489,0.147299187,0.22886255,0.028817496,0.043637125,0.055694137,0.025831391
BS1F1s_3,0.051401649,0.01814191,0.000709202,0.156668577,0.275709725,0.01989611,0.055208907,0.117286596,0.026876914
BS1F1s_4,0.020418927,0.010451887,0.000671889,0.132554144,0.233005859,0.032475812,0.097166702,0.067452694,0.039083
BS1F2s_1,0.034267679,0.006233826,0.001045188,0.161297271,0.200417767,0.017208438,0.055283568,0.077046413,0.05028163
BS1F2s_2,0.023031753,0.014893998,0.001941122,0.109485146,0.286012837,0.022732822,0.087274297,0.045839214,0.0412482
BS1F2s_3,0.016536492,0.025569776,0.001082475,0.146552325,0.16827731,0.034118061,0.112658093,0.043002458,0.043935956
BS1F2s_4,0.027436489,0.012803501,0.00123169,0.100077996,0.121579255,0.133636596,0.068162415,0.125611058,0.044421271
DS0F1s_1,0.041808075,0.009294752,0.00052253,0.116204378,0.205718641,0.028631249,0.142110538,0.072977308,0.031057133
DS0F1s_2,0.019522778,0.003956656,0.000298586,0.102952471,0.218820592,0.027398944,0.072156435,0.062338597,0.033633301
DS0F1s_3,0.023629012,0.003583556,0.000709203,0.098995552,0.267422656,0.055545223,0.057672597,0.055470365,0.053193141
DS0F1s_4,0.026727345,0.028780322,0.001007832,0.150472062,0.194370339,0.042405075,0.069506194,0.087386233,0.035387625
