SampleID,animal_parasite,arbuscular_mycorrhizal,ectomycorrhizal,litter_saprotroph,Other_saprotroph,Others,plant_pathogen,soil_saprotroph,wood_saprotroph
BS0F1s_1,25,40,2,43,87,36,61,97,36
BS0F1s_2,22,71,12,51,79,35,58,89,29
BS0F1s_3,25,40,6,38,86,51,52,94,31
BS0F1s_4,22,65,8,48,80,41,60,86,30
BS0F2s_1,22,43,4,43,88,42,63,85,35
BS0F2s_2,18,68,9,51,88,44,68,105,34
BS0F2s_3,20,64,7,42,79,41,65,108,35
BS0F2s_4,20,43,6,51,92,43,63,91,31
BS1F1s_1,20,54,6,55,97,48,70,108,35
BS1F1s_2,24,56,6,49,93,43,64,99,27
BS1F1s_3,22,58,7,48,85,38,55,92,35
BS1F1s_4,22,50,4,46,93,50,66,99,30
BS1F2s_1,22,38,12,45,83,47,59,96,38
BS1F2s_2,23,40,7,51,83,44,61,84,35
BS1F2s_3,21,63,9,60,87,43,72,105,31
BS1F2s_4,26,41,10,63,99,50,75,91,40
DS0F1s_1,31,42,7,55,86,46,56,88,39
DS0F1s_2,24,33,5,47,97,48,63,104,39
DS0F1s_3,28,29,6,45,85,50,64,104,46
DS0F1s_4,18,53,7,55,98,48,73,95,37
DS0F2s_2,22,51,12,48,98,49,68,98,32
DS0F2s_3,32,42,8,56,103,48,75,111,40
DS0F2s_4,25,52,10,49,97,37,64,106,39
DS1F1s_1,32,63,11,53,85,49,66,104,36
DS1F1s_2,27,43,4,51,87,36,64,101,35
DS1F1s_3,27,68,10,49,90,37,75,104,35
DS1F1s_4,25,47,8,47,104,33,63,114,36
DS1F2s_1,34,52,13,59,86,45,57,100,33
DS1F2s_2,27,38,4,45,91,44,59,92,36
DS1F2s_3,19,50,9,56,89,41,74,106,33
DS1F2s_4,30,42,9,60,95,53,61,111,37
TS0F1s_1,24,32,5,54,102,48,61,96,36
TS0F1s_2,21,42,4,49,83,43,63,100,33
TS0F1s_3,24,40,7,40,80,38,56,92,36
TS0F1s_4,21,52,6,51,88,42,64,106,32
TS0F2s_1,21,18,2,41,82,45,54,85,30
TS0F2s_2,27,42,6,50,86,36,69,93,44
TS0F2s_3,19,32,7,45,89,37,63,101,31
TS0F2s_4,17,34,6,42,79,41,42,78,23
TS1F1s_1,27,10,1,50,86,43,54,83,32
TS1F1s_3,26,13,9,50,105,46,62,105,41
TS1F1s_4,24,39,6,46,93,32,57,93,39
TS1F2s_1,23,26,8,49,82,40,50,87,32
TS1F2s_2,32,19,7,43,87,44,48,81,31
TS1F2s_3,22,35,5,45,84,35,64,87,40
TS1F2s_4,24,19,10,48,85,29,54,83,35
