"","BF...1","DF...2","TF...3","BF+DF","BF+TF","DF+TF","tax_indic_sign","BF...8","DF...9","TF...10","index","stat","p.value"
"OTU_10",0.126397488419186,-0.336014647266609,0.209617158847422,-0.209617158847423,0.336014647266608,-0.126397488419187,"k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",1,0,1,5,0.336014647266608,0.0496
"OTU_1081",0.350678637422557,-0.219797930661065,-0.130880706761492,0.130880706761492,0.219797930661065,-0.350678637422557,"k__Fungi; p__Chytridiomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",1,0,0,1,0.350678637422557,0.0356
"OTU_11",0.438992719439414,-0.438345111003349,-0.000647608436064654,0.000647608436065029,0.438345111003348,-0.438992719439413,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__Fusarium_oxysporum",1,0,0,1,0.438992719439414,0.0068
"OTU_123",0.316931677132143,-0.213727899832574,-0.10320377729957,0.10320377729957,0.213727899832574,-0.316931677132144,"k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",1,0,0,1,0.316931677132143,0.0463
"OTU_1287",0.29945408640559,0.0828362313408475,-0.382290317746438,0.382290317746437,-0.0828362313408474,-0.29945408640559,"k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus; s__Glomus_sp",1,1,0,4,0.382290317746437,0.0179
"OTU_1735",0.326863385028387,-0.00616533765385505,-0.320698047374532,0.320698047374532,0.0061653376538547,-0.326863385028387,"k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium; s__Penicillium_sp",1,0,0,1,0.326863385028387,0.0347
"OTU_1746",0.0504307379568499,-0.489119202356461,0.438688464399612,-0.438688464399612,0.489119202356461,-0.0504307379568501,"k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__unidentified; g__unidentified; s__unidentified",1,0,1,5,0.489119202356461,0.0019
"OTU_1838",0.375497120647375,-0.161186166885749,-0.214310953761626,0.214310953761626,0.161186166885749,-0.375497120647375,"k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",1,0,0,1,0.375497120647375,0.0216
"OTU_1865",0.534469110893378,-0.290033414689943,-0.244435696203436,0.244435696203435,0.290033414689943,-0.534469110893379,"k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Thelebolales; f__Pseudeurotiaceae; g__Pseudogymnoascus; s__Pseudogymnoascus_sp",1,0,0,1,0.534469110893378,4e-04
"OTU_187",0.500899879475396,-0.305330340217696,-0.1955695392577,0.1955695392577,0.305330340217696,-0.500899879475396,"k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",1,0,0,1,0.500899879475396,0.0013
"OTU_2004",0.331415626913865,-0.325905320917813,-0.00551030599605126,0.00551030599605143,0.325905320917813,-0.331415626913865,"k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified; s__unidentified",1,0,0,1,0.331415626913865,0.0485
"OTU_2044",0.41696104750695,-0.127263011580927,-0.289698035926023,0.289698035926023,0.127263011580927,-0.41696104750695,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Microascales; f__unidentified; g__unidentified; s__unidentified",1,0,0,1,0.41696104750695,0.0103
"OTU_2125",0.395268924658743,-0.0776952324089752,-0.317573692249768,0.317573692249768,0.0776952324089751,-0.395268924658743,"k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Hyaloscyphaceae; g__unidentified; s__unidentified",1,0,0,1,0.395268924658743,0.01
"OTU_2282",0.352570584896694,0.0803043880892403,-0.432874972985934,0.432874972985934,-0.0803043880892401,-0.352570584896694,"k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",1,1,0,4,0.432874972985934,0.0048
"OTU_2285",0.590874964849192,-0.16129707081686,-0.429577894032333,0.429577894032333,0.16129707081686,-0.590874964849193,"k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",1,0,0,1,0.590874964849192,1e-04
"OTU_2360",0.0466625394815359,0.335162846693716,-0.381825386175253,0.381825386175253,-0.335162846693717,-0.046662539481536,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__Schizothecium; s__Schizothecium_carpinicola",1,1,0,4,0.381825386175253,0.0215
"OTU_2389",0.393274779754109,-0.284890782423613,-0.108383997330496,0.108383997330496,0.284890782423612,-0.393274779754109,"k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",1,0,0,1,0.393274779754109,0.0178
"OTU_2454",0.0234132196337537,0.35278466268502,-0.376197882318774,0.376197882318774,-0.352784662685021,-0.0234132196337538,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__unidentified; g__unidentified; s__unidentified",1,1,0,4,0.376197882318774,0.0243
"OTU_2528",0.581154972246433,-0.418026341820536,-0.163128630425897,0.163128630425897,0.418026341820535,-0.581154972246434,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__unidentified; g__unidentified; s__unidentified",1,0,0,1,0.581154972246433,1e-04
