s.BF	s.DF	s.TF	index	stat	p.value
OTU_1	1	0	1	5	0.342230057255028	0.051
OTU_10	1	0	1	5	0.336014647266608	0.0496
OTU_1002	0	0	1	3	0.20141482601857	0.4385
OTU_1020	1	0	0	1	0.269591125565903	0.1296
OTU_1023	0	1	1	6	0.0786468094560813	0.8941
OTU_1033	1	0	1	5	0.150803741515094	0.6201
OTU_1036	1	0	0	1	0.0717204601938068	0.9031
OTU_1045	0	1	1	6	0.210362365744557	0.3773
OTU_1046	1	1	0	4	0.214720756894234	0.3438
OTU_1047	1	0	0	1	0.0449814368396609	0.9533
OTU_1048	1	1	0	4	0.317885607453676	0.0759
OTU_1059	1	1	0	4	0.290945325068177	0.1226
OTU_1064	1	0	0	1	0.295323783774196	0.106
OTU_1065	1	0	0	1	0.225644055346871	0.2992
OTU_1067	1	0	1	5	0.165478602074244	0.5283
OTU_1068	0	1	1	6	0.256981844553738	0.2023
OTU_1069	0	1	1	6	0.123037763157004	0.6964
OTU_1081	1	0	0	1	0.350678637422557	0.0356
OTU_1085	0	1	0	2	0.103932384757175	0.773
OTU_1086	1	0	1	5	0.146100579028988	0.635
OTU_1095	1	0	0	1	0.209951541197143	0.4163
OTU_1096	0	1	1	6	0.427693711827634	0.0076
OTU_11	1	0	0	1	0.438992719439414	0.0068
OTU_1101	1	0	0	1	0.167924915557298	0.5225
OTU_1124	1	0	0	1	0.281034191467853	0.1403
OTU_1126	0	1	0	2	0.301281277832118	0.082
OTU_113	0	0	1	3	0.243955914479822	0.2322
OTU_1132	0	0	1	3	0.0260139301309486	0.9839
OTU_1138	0	0	1	3	0.278234833416991	0.1199
OTU_1147	1	1	0	4	0.18669104033328	0.4206
OTU_1148	1	0	1	5	0.0716817563021494	0.9067
OTU_1149	0	1	1	6	0.264968573825136	0.1637
OTU_1161	0	0	1	3	0.337385461064106	0.0429
OTU_1173	0	0	1	3	0.328234563352121	0.0693
OTU_12	1	0	0	1	0.155164999969571	0.5968
OTU_1201	1	1	0	4	0.315301196896502	0.0864
OTU_1209	0	1	0	2	0.215798828135516	0.1289
OTU_1215	0	1	0	2	0.18314071697225	0.4786
OTU_1216	0	0	1	3	0.266172904562485	0.1652
OTU_1220	0	1	0	2	0.144751010148923	0.7903
OTU_1224	0	0	1	3	0.208542145051634	0.4032
OTU_1229	0	0	1	3	0.30197179312761	0.1036
OTU_123	1	0	0	1	0.316931677132143	0.0463
OTU_1238	0	1	1	6	0.237108703901383	0.223
OTU_1249	0	1	0	2	0.397328253081543	0.0041
OTU_126	1	0	0	1	0.279420591877882	0.1452
OTU_1267	0	0	1	3	0.32284110608592	0.075
OTU_1268	1	0	1	5	0.277242400470524	0.1535
OTU_1285	0	0	1	3	0.34898069043409	0.0439
OTU_1286	0	0	1	3	0.637749555608412	1e-04
OTU_1287	1	1	0	4	0.382290317746437	0.0179
OTU_1289	1	0	0	1	0.212676196099855	0.3468
OTU_1297	0	1	1	6	0.222237914159995	0.3007
OTU_1299	1	0	0	1	0.0994779736454551	0.8015
OTU_1300	0	1	1	6	0.296628065406726	0.1008
OTU_1301	0	1	0	2	0.481742422228074	0.0013
OTU_1316	0	1	1	6	0.259252011275469	0.1851
OTU_1322	0	1	1	6	0.314612823464803	0.0906
OTU_1337	1	0	0	1	0.0942245850708485	0.8122
OTU_1375	0	1	1	6	0.19101511191514	0.493
OTU_1377	0	0	1	3	0.173871127746484	0.5749
OTU_1378	1	1	0	4	0.260757044880502	0.1759
OTU_1387	1	0	0	1	0.284524256326856	0.067
OTU_1388	0	1	0	2	0.458011271367848	0.0031
OTU_1394	0	1	0	2	0.284283996688711	0.1358
OTU_1401	1	0	1	5	0.135468309479656	0.6649
OTU_1404	1	1	0	4	0.26275535816748	0.1864
OTU_1406	0	0	1	3	0.327141067202672	0.0117
OTU_1418	0	1	1	6	0.0577695424117067	0.9303
OTU_1419	0	1	1	6	0.177575374858354	0.4974
OTU_1423	0	0	1	3	0.205949380328054	0.6918
OTU_1428	0	1	0	2	0.331016438638655	0.0524
OTU_1437	0	0	1	3	0.250973626656412	0.1751
OTU_1441	0	1	0	2	0.213227585843953	0.3413
OTU_1450	0	0	1	3	0.257854118996991	0.1967
OTU_1462	0	1	1	6	0.278613066380936	0.1315
OTU_1471	1	1	0	4	0.194056815688604	0.4547
OTU_1485	0	1	1	6	0.126034499251135	0.877
OTU_149	1	0	0	1	0.264185667778049	0.1737
OTU_1492	1	0	0	1	0.152897272741376	0.6599
OTU_1494	0	1	0	2	0.276453576412984	0.1551
OTU_15	0	0	1	3	0.127508594437848	0.6795
OTU_1506	0	1	1	6	0.270777953390357	0.0968
OTU_1516	0	1	1	6	0.261126950832445	0.188
OTU_1518	0	1	0	2	0.0903523272054388	0.8488
OTU_1527	1	0	0	1	0.232867713444158	0.2746
OTU_1553	0	1	0	2	0.0271358631357559	0.9851
OTU_1558	0	0	1	3	0.168826717938169	0.6486
OTU_1564	1	0	0	1	0.19620295834241	0.452
OTU_1565	1	0	1	5	0.230806121067696	0.287
OTU_1569	1	0	0	1	0.218451421407962	0.3341
