BF	DF	TF	index	stat	p.value
OTU_10	1	0	1	5	0.336014647266608	0.0496
OTU_1081	1	0	0	1	0.350678637422557	0.0356
OTU_11	1	0	0	1	0.438992719439414	0.0068
OTU_123	1	0	0	1	0.316931677132143	0.0463
OTU_1287	1	1	0	4	0.382290317746437	0.0179
OTU_1735	1	0	0	1	0.326863385028387	0.0347
OTU_1746	1	0	1	5	0.489119202356461	0.0019
OTU_1838	1	0	0	1	0.375497120647375	0.0216
OTU_1865	1	0	0	1	0.534469110893378	4e-04
OTU_187	1	0	0	1	0.500899879475396	0.0013
OTU_2004	1	0	0	1	0.331415626913865	0.0485
OTU_2044	1	0	0	1	0.41696104750695	0.0103
OTU_2125	1	0	0	1	0.395268924658743	0.01
OTU_2282	1	1	0	4	0.432874972985934	0.0048
OTU_2285	1	0	0	1	0.590874964849192	1e-04
OTU_2360	1	1	0	4	0.381825386175253	0.0215
OTU_2389	1	0	0	1	0.393274779754109	0.0178
OTU_2454	1	1	0	4	0.376197882318774	0.0243
OTU_2528	1	0	0	1	0.581154972246433	1e-04
OTU_2539	1	0	0	1	0.42640830762317	0.0059
OTU_264	1	0	0	1	0.487109680563684	0.0024
OTU_2828	1	1	0	4	0.394694165125368	0.01
OTU_2867	1	1	0	4	0.441660774611319	0.0049
OTU_2872	1	0	0	1	0.343644976128959	0.0495
OTU_2989	1	0	0	1	0.34445051436748	0.0443
OTU_3249	1	0	0	1	0.547578520476517	3e-04
OTU_3537	1	0	0	1	0.366953610307085	0.0044
OTU_3539	1	0	0	1	0.248919480046205	0.0045
OTU_3546	1	0	0	1	0.532466241843866	6e-04
OTU_3554	1	0	0	1	0.377507902855226	0.0219
OTU_3555	1	0	0	1	0.53359095309369	7e-04
OTU_3584	1	1	0	4	0.341026178450327	0.0457
OTU_3604	1	0	0	1	0.303590516555379	0.0278
OTU_3606	1	0	0	1	0.617710546706987	2e-04
OTU_3613	1	0	0	1	0.469982146911412	0.0021
OTU_3639	1	1	0	4	0.355929464290693	0.0351
OTU_3683	1	0	0	1	0.444158766615692	0.0043
OTU_3716	1	0	0	1	0.353195287400172	0.037
OTU_3721	1	0	0	1	0.354133080832236	0.0362
OTU_3723	1	0	0	1	0.375380951247952	0.0184
OTU_3742	1	0	0	1	0.429087006969347	0.0078
OTU_3754	1	1	0	4	0.347432226350326	0.0399
OTU_3766	1	0	0	1	0.42877679758508	0.0055
OTU_3770	1	0	0	1	0.319534865376635	0.0301
OTU_3786	1	0	0	1	0.329841786240506	0.0174
OTU_3787	1	0	0	1	0.355631543765782	0.0343
OTU_3822	1	0	0	1	0.444087553375701	7e-04
OTU_3860	1	1	0	4	0.354050433711731	0.0336
OTU_3872	1	0	0	1	0.396368326590305	0.0131
OTU_3878	1	0	0	1	0.362374042239841	0.0118
OTU_3899	1	0	0	1	0.557890715393853	4e-04
OTU_3971	1	0	0	1	0.400457810967749	0.0134
OTU_3976	1	1	0	4	0.363173429049542	0.0283
OTU_3997	1	0	0	1	0.342553469233475	0.0369
OTU_408	1	0	0	1	0.380132846651481	0.0195
OTU_411	1	0	1	5	0.473844593173549	0.0023
OTU_439	1	1	0	4	0.360673058077741	0.0349
OTU_5	1	0	0	1	0.347523019451448	0.0423
OTU_976	1	1	0	4	0.533563347776302	4e-04
OTU_1096	0	1	1	6	0.427693711827634	0.0076
OTU_1249	0	1	0	2	0.397328253081543	0.0041
OTU_1287	1	1	0	4	0.382290317746437	0.0179
OTU_1301	0	1	0	2	0.481742422228074	0.0013
OTU_1388	0	1	0	2	0.458011271367848	0.0031
OTU_1675	0	1	0	2	0.292676533826128	0.0405
OTU_1708	0	1	1	6	0.3329082982379	0.0485
OTU_1920	0	1	0	2	0.468109727974008	0.0028
OTU_1924	0	1	0	2	0.252677409669824	1e-04
OTU_1960	0	1	0	2	0.307535240613219	0.032
OTU_2013	0	1	0	2	0.413358717438087	0.004
OTU_2056	0	1	1	6	0.385177380085485	0.0225
OTU_2094	0	1	0	2	0.389650777480326	0.017
OTU_2221	0	1	0	2	0.509483556016168	5e-04
OTU_2249	0	1	0	2	0.349262959056164	0.0409
OTU_2282	1	1	0	4	0.432874972985934	0.0048
OTU_2313	0	1	0	2	0.415665864151896	0.0102
OTU_2356	0	1	1	6	0.401857586104674	0.0115
OTU_2360	1	1	0	4	0.381825386175253	0.0215
OTU_2454	1	1	0	4	0.376197882318774	0.0243
OTU_2654	0	1	0	2	0.240524934779626	0.016
OTU_2666	0	1	0	2	0.342355936672278	0.0402
OTU_2698	0	1	0	2	0.442554945991552	0.0023
OTU_2828	1	1	0	4	0.394694165125368	0.01
OTU_2867	1	1	0	4	0.441660774611319	0.0049
OTU_3206	0	1	0	2	0.351163554473148	0.0406
OTU_3245	0	1	0	2	0.353142051738776	0.0375
OTU_3282	0	1	0	2	0.561169805985498	3e-04
OTU_3309	0	1	0	2	0.392501501145604	9e-04
OTU_3355	0	1	0	2	0.578230825770127	1e-04
OTU_3356	0	1	0	2	0.297832054700658	0.0431
OTU_3559	0	1	0	2	0.31692807122591	0.0123
OTU_3584	1	1	0	4	0.341026178450327	0.0457
OTU_3639	1	1	0	4	0.355929464290693	0.0351
OTU_3754	1	1	0	4	0.347432226350326	0.0399
OTU_3860	1	1	0	4	0.354050433711731	0.0336
OTU_3976	1	1	0	4	0.363173429049542	0.0283
OTU_439	1	1	0	4	0.360673058077741	0.0349
OTU_683	0	1	1	6	0.346645118933967	0.0454
OTU_699	0	1	0	2	0.403839312865404	0.0083
OTU_854	0	1	0	2	0.223365519327622	0.0167
OTU_976	1	1	0	4	0.533563347776302	4e-04
OTU_10	1	0	1	5	0.336014647266608	0.0496
OTU_1096	0	1	1	6	0.427693711827634	0.0076
OTU_1161	0	0	1	3	0.337385461064106	0.0429
OTU_1285	0	0	1	3	0.34898069043409	0.0439
OTU_1286	0	0	1	3	0.637749555608412	1e-04
OTU_1406	0	0	1	3	0.327141067202672	0.0117
OTU_1685	0	0	1	3	0.46153335530229	0.003
OTU_1705	0	0	1	3	0.276694303658883	0.008
OTU_1708	0	1	1	6	0.3329082982379	0.0485
OTU_1723	0	0	1	3	0.368461480899741	0.0172
OTU_1746	1	0	1	5	0.489119202356461	0.0019
OTU_1940	0	0	1	3	0.388353892466582	0.0188
OTU_2056	0	1	1	6	0.385177380085485	0.0225
OTU_2356	0	1	1	6	0.401857586104674	0.0115
OTU_2432	0	0	1	3	0.235382578004726	1e-04
OTU_2494	0	0	1	3	0.347777621596212	0.0087
OTU_2544	0	0	1	3	0.496266972819077	0.001
OTU_2591	0	0	1	3	0.36403289952157	0.0327
